#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
267	 25 	 Li 	 Li 	 9.41076427860364e-06 	 9.41076427860364e-06
267	 20 	 CH 	 CH 	 1.092477035668073e-06 	 1.092477035668073e-06
267	 1 	 N2 	 N2 	 3.0827223789409666e-06 	 3.0827223789409666e-06
267	 13 	 O3 	 O3 	 0.002696545130030605 	 0.002696545130030605
267	 10 	 NO 	 NO 	 3.501260785682557e-05 	 3.501260785682557e-05
267	 6 	 C2H2 	 C2H2 	 8.70192031048526e-05 	 8.70192031048526e-05
267	 0 	 H2 	 H2 	 2.360191683031486e-05 	 2.360191683031486e-05
267	 5 	 F2 	 F2 	 0.00041622968384691535 	 0.00041622968384691535
267	 23 	 HF2 	 HF2 	 0.0019392988320779052 	 0.0019392988320779052
267	 11 	 NO2 	 NO2 	 0.003610193999157847 	 0.003610193999157847
267	 17 	 H2O 	 OH2 	 0.0005206519170175754 	 0.0005206519170175754
267	 2 	 FLi 	 LiF 	 0.006722638387366059 	 0.006722638387366059
267	 8 	 HLi 	 LiH 	 2.85573678844322e-05 	 2.85573678844322e-05
267	 12 	 HN 	 NH 	 0.001355928813633724 	 0.001355928813633724
267	 7 	 CO 	 OC 	 0.00039844099349710393 	 0.00039844099349710393
267	 3 	 CHN 	 CNH 	 0.0032835208713681086 	 0.0032835208713681086
267	 18 	 H3N 	 NH3 	 0.0010728532557994007 	 0.0010728532557994007
267	 9 	 Na2 	 Na2 	 4.955694174687875e-07 	 4.955694174687875e-07
268	 25 	 Li 	 Li 	 8.13157686448968e-06 	 8.13157686448968e-06
268	 16 	 CH2 	 CH2 	 0.003984976434785705 	 0.003984976434785705
268	 11 	 NO2 	 NO2 	 0.003608502238441085 	 0.003608502238441085
268	 24 	 C 	 C 	 6.566956145709083e-05 	 6.566956145709083e-05
268	 2 	 FLi 	 LiF 	 0.00730877737202036 	 0.00730877737202036
268	 13 	 O3 	 O3 	 0.0026974475057757463 	 0.0026974475057757463
268	 18 	 H3N 	 NH3 	 0.0010734634438969407 	 0.0010734634438969407
268	 0 	 H2 	 H2 	 2.306796959340574e-05 	 2.306796959340574e-05
268	 15 	 CH3 	 CH3 	 9.405255016186213e-05 	 9.405255016186213e-05
268	 4 	 CO2 	 CO2 	 0.007277946022644785 	 0.007277946022644785
268	 7 	 CO 	 OC 	 0.0003991491973870669 	 0.0003991491973870669
268	 8 	 HLi 	 LiH 	 2.877425887158017e-05 	 2.877425887158017e-05
268	 1 	 N2 	 N2 	 3.117443928629504e-06 	 3.117443928629504e-06
268	 5 	 F2 	 F2 	 0.00041627184440348237 	 0.00041627184440348237
268	 10 	 NO 	 NO 	 3.514825941306068e-05 	 3.514825941306068e-05
268	 23 	 HF2 	 HF2 	 0.0019392927938387144 	 0.0019392927938387144
268	 19 	 HO 	 OH 	 3.7297328825569074e-05 	 3.7297328825569074e-05
268	 21 	 HN2O 	 HON2 	 0.003849606960587222 	 0.003849606960587222
268	 22 	 CH4O 	 CH4O 	 0.00015311246902609838 	 0.00015311246902609838
268	 14 	 N2O 	 N2O 	 0.003780073553712032 	 0.003780073553712032
268	 6 	 C2H2 	 C2H2 	 8.182081175425553e-05 	 8.182081175425553e-05
268	 9 	 Na2 	 Na2 	 4.940898078876721e-07 	 4.940898078876721e-07
268	 20 	 CH 	 CH 	 1.0929711025651484e-06 	 1.0929711025651484e-06
268	 3 	 CHN 	 CNH 	 0.0032840180262665142 	 0.0032840180262665142
268	 17 	 H2O 	 OH2 	 0.0005201231954087936 	 0.0005201231954087936
268	 12 	 HN 	 NH 	 0.0013570381742746885 	 0.0013570381742746885
269	 11 	 NO2 	 NO2 	 0.00360947820159215 	 0.00360947820159215
