#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
185	 20 	 CH 	 CH 	 2.763945860085807e-07 	 2.763945860085807e-07
185	 3 	 CHN 	 CNH 	 0.0036280266399886414 	 0.0036280266399886414
185	 6 	 C2H2 	 C2H2 	 0.00013750999670967992 	 0.00013750999670967992
185	 7 	 CO 	 OC 	 0.00036110319763244534 	 0.00036110319763244534
185	 13 	 O3 	 O3 	 0.0036988701027869885 	 0.0036988701027869885
185	 22 	 CH4O 	 CH4O 	 0.00023542339376961377 	 0.00023542339376961377
185	 2 	 FLi 	 LiF 	 0.0071306542080804185 	 0.0071306542080804185
185	 19 	 HO 	 OH 	 1.338571518896966e-05 	 1.338571518896966e-05
185	 25 	 Li 	 Li 	 3.456723212904642e-05 	 3.456723212904642e-05
185	 15 	 CH3 	 CH3 	 9.62415896174361e-08 	 9.62415896174361e-08
185	 1 	 N2 	 N2 	 5.391955493921082e-06 	 5.391955493921082e-06
185	 24 	 C 	 C 	 3.640069328776349e-05 	 3.640069328776349e-05
185	 14 	 N2O 	 N2O 	 0.0037506314813313224 	 0.0037506314813313224
185	 8 	 HLi 	 LiH 	 2.1636200810765695e-06 	 2.1636200810765695e-06
185	 21 	 HN2O 	 HON2 	 0.0040770231919626905 	 0.0040770231919626905
185	 10 	 NO 	 NO 	 8.683937561912883e-05 	 8.683937561912883e-05
185	 17 	 H2O 	 OH2 	 0.0002260670633815215 	 0.0002260670633815215
185	 12 	 HN 	 NH 	 0.0009432793728887735 	 0.0009432793728887735
185	 16 	 CH2 	 CH2 	 0.0025984626624838097 	 0.0025984626624838097
186	 7 	 CO 	 OC 	 0.0003607760828648912 	 0.0003607760828648912
186	 14 	 N2O 	 N2O 	 0.0037503861090237537 	 0.0037503861090237537
186	 8 	 HLi 	 LiH 	 2.2172577455725065e-06 	 2.2172577455725065e-06
186	 19 	 HO 	 OH 	 1.3335159020037005e-05 	 1.3335159020037005e-05
186	 9 	 Na2 	 Na2 	 1.4637517372185963e-06 	 1.4637517372185963e-06
186	 4 	 CO2 	 CO2 	 0.007614798784359622 	 0.007614798784359622
186	 16 	 CH2 	 CH2 	 0.002598152399383723 	 0.002598152399383723
186	 3 	 CHN 	 CNH 	 0.003629666455958884 	 0.003629666455958884
186	 6 	 C2H2 	 C2H2 	 0.0001376832756744552 	 0.0001376832756744552
186	 23 	 HF2 	 HF2 	 0.0026866142441346022 	 0.0026866142441346022
186	 17 	 H2O 	 OH2 	 0.0002261937994886044 	 0.0002261937994886044
186	 20 	 CH 	 CH 	 2.712289098198861e-07 	 2.712289098198861e-07
186	 18 	 H3N 	 NH3 	 0.00037976521062942515 	 0.00037976521062942515
186	 22 	 CH4O 	 CH4O 	 0.0002354248774697021 	 0.0002354248774697021
186	 25 	 Li 	 Li 	 3.6290514549571496e-05 	 3.6290514549571496e-05
186	 2 	 FLi 	 LiF 	 0.007124862361625591 	 0.007124862361625591
186	 21 	 HN2O 	 HON2 	 0.0040770474589017945 	 0.0040770474589017945
186	 5 	 F2 	 F2 	 0.00020282643476488758 	 0.00020282643476488758
186	 15 	 CH3 	 CH3 	 1.0204315012249851e-07 	 1.0204315012249851e-07
186	 11 	 NO2 	 NO2 	 0.004586393401873298 	 0.004586393401873298
186	 1 	 N2 	 N2 	 5.267452574558442e-06 	 5.267452574558442e-06
186	 0 	 H2 	 H2 	 1.4774919040048898e-06 	 1.4774919040048898e-06
186	 10 	 NO 	 NO 	 8.666615968405816e-05 	 8.666615968405816e-05
186	 13 	 O3 	 O3 	 0.003700012077956085 	 0.003700012077956085
186	 12 	 HN 	 NH 	 0.000942596852787673 	 0.000942596852787673
186	 24 	 C 	 C 	 3.6068269957007494e-05 	 3.6068269957007494e-05
187	 1 	 N2 	 N2 	 5.413888496554726e-06 	 5.413888496554726e-06
187	 23 	 HF2 	 HF2 	 0.0026866265166884708 	 0.0026866265166884708
187	 18 	 H3N 	 NH3 	 0.00037947600985036565 	 0.00037947600985036565
187	 17 	 H2O 	 OH2 	 0.00022590929770732794 	 0.00022590929770732794
187	 10 	 NO 	 NO 	 8.670332009364248e-05 	 8.670332009364248e-05
187	 8 	 HLi 	 LiH 	 2.1897652965962867e-06 	 2.1897652965962867e-06
187	 22 	 CH4O 	 CH4O 	 0.00023542551751215768 	 0.00023542551751215768
187	 5 	 F2 	 F2 	 0.00020292650412598412 	 0.00020292650412598412
187	 19 	 HO 	 OH 	 1.3377147547082786e-05 	 1.3377147547082786e-05
187	 11 	 NO2 	 NO2 	 0.004586812520300382 	 0.004586812520300382
187	 6 	 C2H2 	 C2H2 	 0.00014303575033648084 	 0.00014303575033648084
187	 4 	 CO2 	 CO2 	 0.007608894422800261 	 0.007608894422800261
187	 21 	 HN2O 	 HON2 	 0.004077055187910322 	 0.004077055187910322
187	 20 	 CH 	 CH 	 2.7396854397143876e-07 	 2.7396854397143876e-07
187	 9 	 Na2 	 Na2 	 1.46493625146854e-06 	 1.46493625146854e-06
187	 25 	 Li 	 Li 	 3.669966631223123e-05 	 3.669966631223123e-05
187	 24 	 C 	 C 	 3.647823459474517e-05 	 3.647823459474517e-05
