#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
66	 25 	 Li 	 Li 	 4.7347835794412505e-07 	 4.7347835794412505e-07
66	 10 	 NO 	 NO 	 2.036232910502877e-06 	 2.036232910502877e-06
66	 6 	 C2H2 	 C2H2 	 0.00019645562661050833 	 0.00019645562661050833
66	 21 	 HN2O 	 HON2 	 0.0013485260082370684 	 0.0013485260082370684
66	 15 	 CH3 	 CH3 	 2.3481791576626777e-05 	 2.3481791576626777e-05
66	 11 	 NO2 	 NO2 	 0.0012111377879457787 	 0.0012111377879457787
66	 16 	 CH2 	 CH2 	 0.002237290199998382 	 0.002237290199998382
66	 9 	 Na2 	 Na2 	 1.2631094162503775e-06 	 1.2631094162503775e-06
66	 13 	 O3 	 O3 	 0.0004617817479277606 	 0.0004617817479277606
66	 0 	 H2 	 H2 	 1.8523630471702343e-06 	 1.8523630471702343e-06
66	 7 	 CO 	 OC 	 0.0007118585002271109 	 0.0007118585002271109
66	 8 	 HLi 	 LiH 	 4.3075051017694875e-06 	 4.3075051017694875e-06
66	 14 	 N2O 	 N2O 	 0.0014222482504126924 	 0.0014222482504126924
66	 24 	 C 	 C 	 1.3740300649118533e-05 	 1.3740300649118533e-05
66	 1 	 N2 	 N2 	 1.790566257463451e-06 	 1.790566257463451e-06
66	 4 	 CO2 	 CO2 	 0.012700095049700547 	 0.012700095049700547
66	 18 	 H3N 	 NH3 	 0.00021088406091875812 	 0.00021088406091875812
66	 2 	 FLi 	 LiF 	 0.008539704225991577 	 0.008539704225991577
66	 3 	 CHN 	 CNH 	 0.004510227397569741 	 0.004510227397569741
66	 23 	 HF2 	 HF2 	 0.001032813095997709 	 0.001032813095997709
66	 19 	 HO 	 OH 	 8.127223466162779e-06 	 8.127223466162779e-06
67	 8 	 HLi 	 LiH 	 4.34993538229652e-06 	 4.34993538229652e-06
67	 12 	 HN 	 NH 	 0.00038638680264523387 	 0.00038638680264523387
67	 19 	 HO 	 OH 	 8.122718118892074e-06 	 8.122718118892074e-06
67	 5 	 F2 	 F2 	 3.267595771302662e-05 	 3.267595771302662e-05
67	 4 	 CO2 	 CO2 	 0.012682001550764831 	 0.012682001550764831
67	 22 	 CH4O 	 CH4O 	 6.627972025494714e-05 	 6.627972025494714e-05
67	 3 	 CHN 	 CNH 	 0.004500949973657746 	 0.004500949973657746
67	 17 	 H2O 	 OH2 	 0.0002545140776998776 	 0.0002545140776998776
67	 0 	 H2 	 H2 	 2.0521216068330464e-06 	 2.0521216068330464e-06
67	 7 	 CO 	 OC 	 0.0007094188096930144 	 0.0007094188096930144
67	 25 	 Li 	 Li 	 1.8615151557798593e-07 	 1.8615151557798593e-07
67	 10 	 NO 	 NO 	 1.8572692232603121e-06 	 1.8572692232603121e-06
67	 1 	 N2 	 N2 	 1.6263663365663606e-06 	 1.6263663365663606e-06
67	 2 	 FLi 	 LiF 	 0.008539971372914623 	 0.008539971372914623
67	 18 	 H3N 	 NH3 	 0.00021077944640794693 	 0.00021077944640794693
67	 14 	 N2O 	 N2O 	 0.0014430256062767275 	 0.0014430256062767275
67	 15 	 CH3 	 CH3 	 2.3764420905336187e-05 	 2.3764420905336187e-05
67	 24 	 C 	 C 	 1.3861592928975109e-05 	 1.3861592928975109e-05
67	 23 	 HF2 	 HF2 	 0.0010383528758175318 	 0.0010383528758175318
67	 6 	 C2H2 	 C2H2 	 0.00019352144918006678 	 0.00019352144918006678
67	 9 	 Na2 	 Na2 	 1.2800716040691697e-06 	 1.2800716040691697e-06
67	 16 	 CH2 	 CH2 	 0.002237738841364283 	 0.002237738841364283
67	 13 	 O3 	 O3 	 0.0004783259462457311 	 0.0004783259462457311
67	 11 	 NO2 	 NO2 	 0.0012356274752386802 	 0.0012356274752386802
67	 20 	 CH 	 CH 	 4.1299233659921413e-07 	 4.1299233659921413e-07
67	 21 	 HN2O 	 HON2 	 0.001358713131785641 	 0.001358713131785641
68	 21 	 HN2O 	 HON2 	 0.0013588862694960575 	 0.0013588862694960575
68	 18 	 H3N 	 NH3 	 0.000209185780092533 	 0.000209185780092533
68	 2 	 FLi 	 LiF 	 0.008528464565457616 	 0.008528464565457616
68	 22 	 CH4O 	 CH4O 	 6.65473931870782e-05 	 6.65473931870782e-05
68	 0 	 H2 	 H2 	 1.7648772838699582e-06 	 1.7648772838699582e-06
68	 9 	 Na2 	 Na2 	 1.29040894808502e-06 	 1.29040894808502e-06
68	 25 	 Li 	 Li 	 2.3452124095377218e-07 	 2.3452124095377218e-07
68	 16 	 CH2 	 CH2 	 0.002236521574069619 	 0.002236521574069619
68	 19 	 HO 	 OH 	 8.059172614601383e-06 	 8.059172614601383e-06
68	 14 	 N2O 	 N2O 	 0.0014497582302728216 	 0.0014497582302728216
68	 1 	 N2 	 N2 	 1.583570170763922e-06 	 1.583570170763922e-06
68	 7 	 CO 	 OC 	 0.0007069352884231278 	 0.0007069352884231278
68	 6 	 C2H2 	 C2H2 	 0.000194221525437963 	 0.000194221525437963
68	 15 	 CH3 	 CH3 	 2.395961446238513e-05 	 2.395961446238513e-05
68	 20 	 CH 	 CH 	 4.2467236708911296e-07 	 4.2467236708911296e-07
68	 24 	 C 	 C 	 1.3984390211609825e-05 	 1.3984390211609825e-05
68	 5 	 F2 	 F2 	 3.3307123284879956e-05 	 3.3307123284879956e-05
68	 23 	 HF2 	 HF2 	 0.0010404888122906384 	 0.0010404888122906384
68	 17 	 H2O 	 OH2 	 0.00025286966649995914 	 0.00025286966649995914
68	 11 	 NO2 	 NO2 	 0.0012405886476442877 	 0.0012405886476442877
68	 8 	 HLi 	 LiH 	 4.305012749049575e-06 	 4.305012749049575e-06
68	 13 	 O3 	 O3 	 0.000482431116796427 	 0.000482431116796427
68	 12 	 HN 	 NH 	 0.000385802893695897 	 0.000385802893695897
68	 10 	 NO 	 NO 	 1.7678523516951418e-06 	 1.7678523516951418e-06
68	 3 	 CHN 	 CNH 	 0.004478139682721889 	 0.004478139682721889
68	 4 	 CO2 	 CO2 	 0.012636128991154716 	 0.012636128991154716
69	 24 	 C 	 C 	 1.3966097342160469e-05 	 1.3966097342160469e-05
69	 2 	 FLi 	 LiF 	 0.008533596183779645 	 0.008533596183779645
69	 1 	 N2 	 N2 	 1.4286122170993971e-06 	 1.4286122170993971e-06
69	 23 	 HF2 	 HF2 	 0.0010420781370608855 	 0.0010420781370608855
69	 12 	 HN 	 NH 	 0.0003855906104396827 	 0.0003855906104396827
69	 4 	 CO2 	 CO2 	 0.012618339778447027 	 0.012618339778447027
69	 8 	 HLi 	 LiH 	 4.448112482497281e-06 	 4.448112482497281e-06
69	 6 	 C2H2 	 C2H2 	 0.000192623391087349 	 0.000192623391087349
69	 13 	 O3 	 O3 	 0.0004914208728952141 	 0.0004914208728952141
69	 10 	 NO 	 NO 	 1.6598404280273582e-06 	 1.6598404280273582e-06
69	 15 	 CH3 	 CH3 	 2.4431136952368347e-05 	 2.4431136952368347e-05
69	 7 	 CO 	 OC 	 0.0007028994752839383 	 0.0007028994752839383
69	 5 	 F2 	 F2 	 3.3896436426984384e-05 	 3.3896436426984384e-05
69	 3 	 CHN 	 CNH 	 0.004463008854335206 	 0.004463008854335206
69	 22 	 CH4O 	 CH4O 	 6.694999541351313e-05 	 6.694999541351313e-05
69	 17 	 H2O 	 OH2 	 0.000250761860987383 	 0.000250761860987383
69	 19 	 HO 	 OH 	 7.932950603127689e-06 	 7.932950603127689e-06
69	 25 	 Li 	 Li 	 1.38549666267261e-07 	 1.38549666267261e-07
69	 0 	 H2 	 H2 	 1.802830528659333e-06 	 1.802830528659333e-06
69	 21 	 HN2O 	 HON2 	 0.0013701456883953148 	 0.0013701456883953148
69	 14 	 N2O 	 N2O 	 0.001478833810831279 	 0.001478833810831279
69	 11 	 NO2 	 NO2 	 0.0012679275971348154 	 0.0012679275971348154
69	 16 	 CH2 	 CH2 	 0.0022347358356002976 	 0.0022347358356002976
69	 20 	 CH 	 CH 	 4.308894976969787e-07 	 4.308894976969787e-07
69	 18 	 H3N 	 NH3 	 0.00020778048294183796 	 0.00020778048294183796
69	 9 	 Na2 	 Na2 	 1.3111087541143948e-06 	 1.3111087541143948e-06
70	 15 	 CH3 	 CH3 	 2.4710817311848756e-05 	 2.4710817311848756e-05
70	 16 	 CH2 	 CH2 	 0.0022353825069583774 	 0.0022353825069583774
70	 4 	 CO2 	 CO2 	 0.012585053156285112 	 0.012585053156285112
70	 10 	 NO 	 NO 	 1.5483393448961823e-06 	 1.5483393448961823e-06
70	 5 	 F2 	 F2 	 3.426211525695787e-05 	 3.426211525695787e-05
70	 23 	 HF2 	 HF2 	 0.0010483332506362026 	 0.0010483332506362026
70	 14 	 N2O 	 N2O 	 0.0014889339921474252 	 0.0014889339921474252
70	 25 	 Li 	 Li 	 1.1739718168760859e-07 	 1.1739718168760859e-07
70	 22 	 CH4O 	 CH4O 	 6.723224027133353e-05 	 6.723224027133353e-05
70	 9 	 Na2 	 Na2 	 1.3096330706350585e-06 	 1.3096330706350585e-06
70	 6 	 C2H2 	 C2H2 	 0.00018784978262427831 	 0.00018784978262427831
70	 18 	 H3N 	 NH3 	 0.00020753511451199438 	 0.00020753511451199438
70	 17 	 H2O 	 OH2 	 0.0002494097820941014 	 0.0002494097820941014
70	 12 	 HN 	 NH 	 0.0003843778793593242 	 0.0003843778793593242
70	 11 	 NO2 	 NO2 	 0.0012810783911216552 	 0.0012810783911216552
70	 21 	 HN2O 	 HON2 	 0.0013763278408729046 	 0.0013763278408729046
70	 2 	 FLi 	 LiF 	 0.008524838304171745 	 0.008524838304171745
70	 1 	 N2 	 N2 	 1.1597736624776991e-06 	 1.1597736624776991e-06
70	 3 	 CHN 	 CNH 	 0.004444206385264635 	 0.004444206385264635
70	 8 	 HLi 	 LiH 	 4.485683555807725e-06 	 4.485683555807725e-06
70	 20 	 CH 	 CH 	 4.39586386784318e-07 	 4.39586386784318e-07
70	 19 	 HO 	 OH 	 7.851170950715145e-06 	 7.851170950715145e-06
70	 13 	 O3 	 O3 	 0.0005118490513821711 	 0.0005118490513821711
70	 7 	 CO 	 OC 	 0.0006983437506017442 	 0.0006983437506017442
70	 0 	 H2 	 H2 	 1.9082614610901403e-06 	 1.9082614610901403e-06
70	 24 	 C 	 C 	 1.4250148741197553e-05 	 1.4250148741197553e-05
71	 17 	 H2O 	 OH2 	 0.0002493541355036502 	 0.0002493541355036502
71	 15 	 CH3 	 CH3 	 2.5055250415384283e-05 	 2.5055250415384283e-05
71	 3 	 CHN 	 CNH 	 0.004435721839773471 	 0.004435721839773471
71	 14 	 N2O 	 N2O 	 0.001501040668287083 	 0.001501040668287083
71	 22 	 CH4O 	 CH4O 	 6.733928039012392e-05 	 6.733928039012392e-05
71	 16 	 CH2 	 CH2 	 0.002233435675039827 	 0.002233435675039827
71	 7 	 CO 	 OC 	 0.0006969487664825608 	 0.0006969487664825608
71	 9 	 Na2 	 Na2 	 1.330402293628636e-06 	 1.330402293628636e-06
71	 1 	 N2 	 N2 	 1.0643379542876051e-06 	 1.0643379542876051e-06
71	 13 	 O3 	 O3 	 0.0005152125642743969 	 0.0005152125642743969
71	 24 	 C 	 C 	 1.421696861125609e-05 	 1.421696861125609e-05
71	 18 	 H3N 	 NH3 	 0.00020666780559703426 	 0.00020666780559703426
71	 5 	 F2 	 F2 	 3.482259280282981e-05 	 3.482259280282981e-05
71	 25 	 Li 	 Li 	 1.736989590934639e-07 	 1.736989590934639e-07
71	 12 	 HN 	 NH 	 0.00038448322272117833 	 0.00038448322272117833
71	 10 	 NO 	 NO 	 1.4334224925822125e-06 	 1.4334224925822125e-06
71	 0 	 H2 	 H2 	 1.9279630402579636e-06 	 1.9279630402579636e-06
71	 21 	 HN2O 	 HON2 	 0.0013792531003227254 	 0.0013792531003227254
71	 23 	 HF2 	 HF2 	 0.0010530943947269537 	 0.0010530943947269537
71	 6 	 C2H2 	 C2H2 	 0.0001856013321116444 	 0.0001856013321116444
71	 2 	 FLi 	 LiF 	 0.008515177208462444 	 0.008515177208462444
71	 11 	 NO2 	 NO2 	 0.0012918477399368176 	 0.0012918477399368176
71	 4 	 CO2 	 CO2 	 0.012541458049716969 	 0.012541458049716969
71	 19 	 HO 	 OH 	 7.780247766898991e-06 	 7.780247766898991e-06
71	 20 	 CH 	 CH 	 4.559670922491464e-07 	 4.559670922491464e-07
71	 8 	 HLi 	 LiH 	 4.531293679954737e-06 	 4.531293679954737e-06
72	 25 	 Li 	 Li 	 1.731217073653176e-07 	 1.731217073653176e-07
72	 5 	 F2 	 F2 	 3.496409565740954e-05 	 3.496409565740954e-05
72	 9 	 Na2 	 Na2 	 1.3441211093005353e-06 	 1.3441211093005353e-06
72	 15 	 CH3 	 CH3 	 2.515697383598244e-05 	 2.515697383598244e-05
72	 19 	 HO 	 OH 	 7.77458908573609e-06 	 7.77458908573609e-06
72	 3 	 CHN 	 CNH 	 0.004420156421500206 	 0.004420156421500206
72	 22 	 CH4O 	 CH4O 	 6.751502512149456e-05 	 6.751502512149456e-05
72	 0 	 H2 	 H2 	 2.1506064987241978e-06 	 2.1506064987241978e-06
72	 12 	 HN 	 NH 	 0.00038422039068579676 	 0.00038422039068579676
72	 18 	 H3N 	 NH3 	 0.00020558273658275011 	 0.00020558273658275011
72	 17 	 H2O 	 OH2 	 0.00024776615098317855 	 0.00024776615098317855
72	 13 	 O3 	 O3 	 0.0005238279978199372 	 0.0005238279978199372
72	 16 	 CH2 	 CH2 	 0.0022321668906944347 	 0.0022321668906944347
72	 6 	 C2H2 	 C2H2 	 0.00018525254786762557 	 0.00018525254786762557
72	 2 	 FLi 	 LiF 	 0.008518365818604727 	 0.008518365818604727
72	 8 	 HLi 	 LiH 	 4.575582220815656e-06 	 4.575582220815656e-06
72	 23 	 HF2 	 HF2 	 0.0010576583742658852 	 0.0010576583742658852
72	 20 	 CH 	 CH 	 4.6295611691176797e-07 	 4.6295611691176797e-07
72	 14 	 N2O 	 N2O 	 0.0015193022007890084 	 0.0015193022007890084
72	 4 	 CO2 	 CO2 	 0.012506990265334722 	 0.012506990265334722
72	 11 	 NO2 	 NO2 	 0.0013068683569599925 	 0.0013068683569599925
72	 10 	 NO 	 NO 	 1.3159509307271823e-06 	 1.3159509307271823e-06
72	 24 	 C 	 C 	 1.4349760257340412e-05 	 1.4349760257340412e-05
72	 7 	 CO 	 OC 	 0.0006937033957649919 	 0.0006937033957649919
72	 21 	 HN2O 	 HON2 	 0.0013876293166450071 	 0.0013876293166450071
72	 1 	 N2 	 N2 	 8.937187197170789e-07 	 8.937187197170789e-07
73	 24 	 C 	 C 	 1.4535312277701167e-05 	 1.4535312277701167e-05
73	 10 	 NO 	 NO 	 1.2799990530222641e-06 	 1.2799990530222641e-06
73	 20 	 CH 	 CH 	 4.57464201489712e-07 	 4.57464201489712e-07
73	 2 	 FLi 	 LiF 	 0.008523054214774294 	 0.008523054214774294
73	 3 	 CHN 	 CNH 	 0.004402440569402218 	 0.004402440569402218
73	 6 	 C2H2 	 C2H2 	 0.00018441358304573753 	 0.00018441358304573753
73	 11 	 NO2 	 NO2 	 0.0013190917620462294 	 0.0013190917620462294
73	 9 	 Na2 	 Na2 	 1.3586001895981812e-06 	 1.3586001895981812e-06
73	 7 	 CO 	 OC 	 0.0006907397731434714 	 0.0006907397731434714
73	 0 	 H2 	 H2 	 1.9112558714864484e-06 	 1.9112558714864484e-06
73	 16 	 CH2 	 CH2 	 0.0022301267519059457 	 0.0022301267519059457
73	 22 	 CH4O 	 CH4O 	 6.784402497659062e-05 	 6.784402497659062e-05
73	 13 	 O3 	 O3 	 0.000540670443446227 	 0.000540670443446227
73	 19 	 HO 	 OH 	 7.63247798920084e-06 	 7.63247798920084e-06
73	 17 	 H2O 	 OH2 	 0.0002459043568307403 	 0.0002459043568307403
73	 1 	 N2 	 N2 	 9.161482560402726e-07 	 9.161482560402726e-07
73	 8 	 HLi 	 LiH 	 4.4900443593556995e-06 	 4.4900443593556995e-06
73	 15 	 CH3 	 CH3 	 2.593393621250601e-05 	 2.593393621250601e-05
73	 23 	 HF2 	 HF2 	 0.0010626897913808644 	 0.0010626897913808644
73	 21 	 HN2O 	 HON2 	 0.001393110485098947 	 0.001393110485098947
73	 25 	 Li 	 Li 	 2.7276704773586973e-07 	 2.7276704773586973e-07
73	 4 	 CO2 	 CO2 	 0.012453825921355027 	 0.012453825921355027
73	 18 	 H3N 	 NH3 	 0.00020433219202498353 	 0.00020433219202498353
73	 5 	 F2 	 F2 	 3.602227025723059e-05 	 3.602227025723059e-05
73	 12 	 HN 	 NH 	 0.0003833174171972904 	 0.0003833174171972904
73	 14 	 N2O 	 N2O 	 0.001546597756186447 	 0.001546597756186447
74	 9 	 Na2 	 Na2 	 1.3626083275656392e-06 	 1.3626083275656392e-06
74	 2 	 FLi 	 LiF 	 0.008505424608935571 	 0.008505424608935571
74	 22 	 CH4O 	 CH4O 	 6.804588343902413e-05 	 6.804588343902413e-05
74	 13 	 O3 	 O3 	 0.0005460399771459038 	 0.0005460399771459038
74	 7 	 CO 	 OC 	 0.000689082802422888 	 0.000689082802422888
74	 8 	 HLi 	 LiH 	 4.526669858144353e-06 	 4.526669858144353e-06
74	 1 	 N2 	 N2 	 7.974242699618395e-07 	 7.974242699618395e-07
74	 19 	 HO 	 OH 	 7.6053314335026665e-06 	 7.6053314335026665e-06
74	 16 	 CH2 	 CH2 	 0.002229606338637177 	 0.002229606338637177
74	 10 	 NO 	 NO 	 1.1336195764063225e-06 	 1.1336195764063225e-06
74	 15 	 CH3 	 CH3 	 2.6049287158282464e-05 	 2.6049287158282464e-05
74	 5 	 F2 	 F2 	 3.6207174618678255e-05 	 3.6207174618678255e-05
74	 3 	 CHN 	 CNH 	 0.004380593007643715 	 0.004380593007643715
74	 12 	 HN 	 NH 	 0.0003835336769428274 	 0.0003835336769428274
74	 23 	 HF2 	 HF2 	 0.001066269096410319 	 0.001066269096410319
74	 25 	 Li 	 Li 	 2.1606685342871564e-07 	 2.1606685342871564e-07
74	 4 	 CO2 	 CO2 	 0.01243003811778529 	 0.01243003811778529
74	 14 	 N2O 	 N2O 	 0.0015540599072565878 	 0.0015540599072565878
74	 0 	 H2 	 H2 	 2.006323581352536e-06 	 2.006323581352536e-06
74	 21 	 HN2O 	 HON2 	 0.0013997660787127423 	 0.0013997660787127423
74	 18 	 H3N 	 NH3 	 0.00020409809059316562 	 0.00020409809059316562
74	 24 	 C 	 C 	 1.4765163824582565e-05 	 1.4765163824582565e-05
74	 11 	 NO2 	 NO2 	 0.0013452587851324122 	 0.0013452587851324122
74	 20 	 CH 	 CH 	 4.7417837699249456e-07 	 4.7417837699249456e-07
74	 6 	 C2H2 	 C2H2 	 0.00018123794734072892 	 0.00018123794734072892
74	 17 	 H2O 	 OH2 	 0.00024389083917218627 	 0.00024389083917218627
75	 21 	 HN2O 	 HON2 	 0.0014025074658563052 	 0.0014025074658563052
75	 18 	 H3N 	 NH3 	 0.00020379060026351717 	 0.00020379060026351717
75	 8 	 HLi 	 LiH 	 4.539754730379481e-06 	 4.539754730379481e-06
75	 17 	 H2O 	 OH2 	 0.00024351410632474313 	 0.00024351410632474313
75	 10 	 NO 	 NO 	 1.0525294585153304e-06 	 1.0525294585153304e-06
75	 5 	 F2 	 F2 	 3.6677512979514404e-05 	 3.6677512979514404e-05
75	 16 	 CH2 	 CH2 	 0.002230423310220678 	 0.002230423310220678
75	 4 	 CO2 	 CO2 	 0.012416396139243575 	 0.012416396139243575
75	 7 	 CO 	 OC 	 0.0006852446142306702 	 0.0006852446142306702
75	 25 	 Li 	 Li 	 1.769531659681176e-07 	 1.769531659681176e-07
75	 13 	 O3 	 O3 	 0.0005626751481534679 	 0.0005626751481534679
75	 0 	 H2 	 H2 	 1.7291565918171476e-06 	 1.7291565918171476e-06
75	 23 	 HF2 	 HF2 	 0.0010710645057100284 	 0.0010710645057100284
75	 20 	 CH 	 CH 	 4.74683682410152e-07 	 4.74683682410152e-07
75	 11 	 NO2 	 NO2 	 0.0013625295866586614 	 0.0013625295866586614
75	 12 	 HN 	 NH 	 0.0003833162196136084 	 0.0003833162196136084
75	 9 	 Na2 	 Na2 	 1.3660201438605226e-06 	 1.3660201438605226e-06
75	 19 	 HO 	 OH 	 7.489161747466231e-06 	 7.489161747466231e-06
75	 24 	 C 	 C 	 1.4610853994869118e-05 	 1.4610853994869118e-05
75	 1 	 N2 	 N2 	 5.935440237484989e-07 	 5.935440237484989e-07
75	 22 	 CH4O 	 CH4O 	 6.872880108893363e-05 	 6.872880108893363e-05
75	 6 	 C2H2 	 C2H2 	 0.00017696975926313768 	 0.00017696975926313768
75	 14 	 N2O 	 N2O 	 0.0015844141832444692 	 0.0015844141832444692
75	 3 	 CHN 	 CNH 	 0.004357483707210803 	 0.004357483707210803
75	 15 	 CH3 	 CH3 	 2.613065505216105e-05 	 2.613065505216105e-05
75	 2 	 FLi 	 LiF 	 0.008498972151448196 	 0.008498972151448196
76	 21 	 HN2O 	 HON2 	 0.0014112337789473938 	 0.0014112337789473938
76	 23 	 HF2 	 HF2 	 0.0010738302075887524 	 0.0010738302075887524
76	 1 	 N2 	 N2 	 5.424479672963128e-07 	 5.424479672963128e-07
76	 13 	 O3 	 O3 	 0.0005727841830541289 	 0.0005727841830541289
76	 25 	 Li 	 Li 	 2.222254490437743e-07 	 2.222254490437743e-07
76	 19 	 HO 	 OH 	 7.488750125858286e-06 	 7.488750125858286e-06
76	 18 	 H3N 	 NH3 	 0.0002030310853674677 	 0.0002030310853674677
76	 0 	 H2 	 H2 	 2.2190742455789933e-06 	 2.2190742455789933e-06
76	 8 	 HLi 	 LiH 	 4.7117875232738365e-06 	 4.7117875232738365e-06
76	 2 	 FLi 	 LiF 	 0.008492714902743316 	 0.008492714902743316
76	 10 	 NO 	 NO 	 9.345238046665496e-07 	 9.345238046665496e-07
76	 20 	 CH 	 CH 	 4.901150419337253e-07 	 4.901150419337253e-07
76	 16 	 CH2 	 CH2 	 0.0022293385080464473 	 0.0022293385080464473
76	 17 	 H2O 	 OH2 	 0.00024219300050326567 	 0.00024219300050326567
76	 14 	 N2O 	 N2O 	 0.0015903019183829985 	 0.0015903019183829985
76	 22 	 CH4O 	 CH4O 	 6.876942212823554e-05 	 6.876942212823554e-05
76	 6 	 C2H2 	 C2H2 	 0.0001781069330480411 	 0.0001781069330480411
76	 24 	 C 	 C 	 1.4818539934795651e-05 	 1.4818539934795651e-05
76	 5 	 F2 	 F2 	 3.737806901885968e-05 	 3.737806901885968e-05
76	 9 	 Na2 	 Na2 	 1.3825363394679549e-06 	 1.3825363394679549e-06
76	 7 	 CO 	 OC 	 0.0006811389353910513 	 0.0006811389353910513
76	 4 	 CO2 	 CO2 	 0.012364296722425625 	 0.012364296722425625
76	 15 	 CH3 	 CH3 	 2.6400903149953317e-05 	 2.6400903149953317e-05
76	 11 	 NO2 	 NO2 	 0.0013784004397789157 	 0.0013784004397789157
76	 12 	 HN 	 NH 	 0.00038279379385125256 	 0.00038279379385125256
76	 3 	 CHN 	 CNH 	 0.004341228473765729 	 0.004341228473765729
77	 14 	 N2O 	 N2O 	 0.001598402110201325 	 0.001598402110201325
77	 22 	 CH4O 	 CH4O 	 6.891930694103912e-05 	 6.891930694103912e-05
77	 23 	 HF2 	 HF2 	 0.0010778861284313414 	 0.0010778861284313414
77	 6 	 C2H2 	 C2H2 	 0.00017505210880766262 	 0.00017505210880766262
77	 3 	 CHN 	 CNH 	 0.004334893366860484 	 0.004334893366860484
77	 4 	 CO2 	 CO2 	 0.01234352233544356 	 0.01234352233544356
77	 13 	 O3 	 O3 	 0.0005856451881337785 	 0.0005856451881337785
77	 0 	 H2 	 H2 	 2.223125079797186e-06 	 2.223125079797186e-06
77	 21 	 HN2O 	 HON2 	 0.0014199955986828204 	 0.0014199955986828204
77	 17 	 H2O 	 OH2 	 0.00024039295943004238 	 0.00024039295943004238
77	 12 	 HN 	 NH 	 0.00038271845103484174 	 0.00038271845103484174
77	 7 	 CO 	 OC 	 0.0006772170127151873 	 0.0006772170127151873
77	 19 	 HO 	 OH 	 7.376512240404133e-06 	 7.376512240404133e-06
77	 8 	 HLi 	 LiH 	 4.7257105187897114e-06 	 4.7257105187897114e-06
77	 10 	 NO 	 NO 	 7.948633805055937e-07 	 7.948633805055937e-07
77	 1 	 N2 	 N2 	 3.933487529083872e-07 	 3.933487529083872e-07
77	 9 	 Na2 	 Na2 	 1.4030329985704564e-06 	 1.4030329985704564e-06
77	 2 	 FLi 	 LiF 	 0.008492180934258364 	 0.008492180934258364
77	 15 	 CH3 	 CH3 	 2.6838286345864778e-05 	 2.6838286345864778e-05
77	 5 	 F2 	 F2 	 3.8291316613625464e-05 	 3.8291316613625464e-05
77	 25 	 Li 	 Li 	 1.3656469291493053e-07 	 1.3656469291493053e-07
77	 11 	 NO2 	 NO2 	 0.0014036208482739085 	 0.0014036208482739085
77	 18 	 H3N 	 NH3 	 0.00020116206768690535 	 0.00020116206768690535
77	 16 	 CH2 	 CH2 	 0.0022271235425455143 	 0.0022271235425455143
77	 24 	 C 	 C 	 1.489825583983999e-05 	 1.489825583983999e-05
77	 20 	 CH 	 CH 	 5.077282555494865e-07 	 5.077282555494865e-07
78	 17 	 H2O 	 OH2 	 0.00023963291683839187 	 0.00023963291683839187
78	 1 	 N2 	 N2 	 5.220322724075464e-07 	 5.220322724075464e-07
78	 2 	 FLi 	 LiF 	 0.008497019163950747 	 0.008497019163950747
78	 25 	 Li 	 Li 	 2.306726550465013e-07 	 2.306726550465013e-07
78	 4 	 CO2 	 CO2 	 0.012292944984078728 	 0.012292944984078728
78	 10 	 NO 	 NO 	 7.569245064020457e-07 	 7.569245064020457e-07
78	 16 	 CH2 	 CH2 	 0.0022274755406851924 	 0.0022274755406851924
78	 5 	 F2 	 F2 	 3.850689060276989e-05 	 3.850689060276989e-05
78	 18 	 H3N 	 NH3 	 0.00020062964808560219 	 0.00020062964808560219
78	 24 	 C 	 C 	 1.4962864029410078e-05 	 1.4962864029410078e-05
78	 7 	 CO 	 OC 	 0.0006743136588201809 	 0.0006743136588201809
78	 6 	 C2H2 	 C2H2 	 0.0001689235617265082 	 0.0001689235617265082
78	 11 	 NO2 	 NO2 	 0.0014196630950894286 	 0.0014196630950894286
78	 22 	 CH4O 	 CH4O 	 6.953939143336012e-05 	 6.953939143336012e-05
78	 23 	 HF2 	 HF2 	 0.0010859875908573577 	 0.0010859875908573577
78	 9 	 Na2 	 Na2 	 1.4184587496349084e-06 	 1.4184587496349084e-06
78	 13 	 O3 	 O3 	 0.0006090953174573872 	 0.0006090953174573872
78	 21 	 HN2O 	 HON2 	 0.0014314287322859981 	 0.0014314287322859981
78	 19 	 HO 	 OH 	 7.275394592363112e-06 	 7.275394592363112e-06
78	 20 	 CH 	 CH 	 5.099440642683222e-07 	 5.099440642683222e-07
78	 3 	 CHN 	 CNH 	 0.0043054882409972045 	 0.0043054882409972045
78	 12 	 HN 	 NH 	 0.00038189145923269043 	 0.00038189145923269043
78	 8 	 HLi 	 LiH 	 4.817007894697945e-06 	 4.817007894697945e-06
78	 15 	 CH3 	 CH3 	 2.7123156235914784e-05 	 2.7123156235914784e-05
78	 0 	 H2 	 H2 	 1.9013367345293303e-06 	 1.9013367345293303e-06
78	 14 	 N2O 	 N2O 	 0.0016449338775909477 	 0.0016449338775909477
79	 0 	 H2 	 H2 	 2.25344439645385e-06 	 2.25344439645385e-06
79	 18 	 H3N 	 NH3 	 0.00020028130582910088 	 0.00020028130582910088
79	 2 	 FLi 	 LiF 	 0.008494965326743726 	 0.008494965326743726
79	 7 	 CO 	 OC 	 0.0006724376241039623 	 0.0006724376241039623
79	 13 	 O3 	 O3 	 0.0006131655838824978 	 0.0006131655838824978
