#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
338	 10 	 NO 	 NO 	 0.0005289170114773554 	 0.0005289170114773554
338	 1 	 N2 	 N2 	 0.00020814628056924916 	 0.00020814628056924916
338	 11 	 NO2 	 NO2 	 0.017040933549201533 	 0.017040933549201533
338	 17 	 H2O 	 OH2 	 1.6677032950110848e-06 	 1.6677032950110848e-06
338	 0 	 H2 	 H2 	 1.2313163292350642e-05 	 1.2313163292350642e-05
338	 8 	 HLi 	 LiH 	 1.805452232455586e-05 	 1.805452232455586e-05
338	 24 	 C 	 C 	 1.3254715603539154e-05 	 1.3254715603539154e-05
338	 12 	 HN 	 NH 	 0.00177098184875908 	 0.00177098184875908
338	 18 	 H3N 	 NH3 	 0.000603204425249465 	 0.000603204425249465
338	 13 	 O3 	 O3 	 0.018174925484389835 	 0.018174925484389835
338	 22 	 CH4O 	 CH4O 	 0.0003043292395305003 	 0.0003043292395305003
338	 14 	 N2O 	 N2O 	 0.01461517679280382 	 0.01461517679280382
338	 16 	 CH2 	 CH2 	 0.004801681241762999 	 0.004801681241762999
338	 9 	 Na2 	 Na2 	 1.7894039392201633e-08 	 1.7894039392201633e-08
338	 20 	 CH 	 CH 	 3.9692625438175347e-07 	 3.9692625438175347e-07
338	 21 	 HN2O 	 HON2 	 0.006977629680227338 	 0.006977629680227338
338	 3 	 CHN 	 CNH 	 0.0019513245490205334 	 0.0019513245490205334
338	 2 	 FLi 	 LiF 	 0.006064936447043733 	 0.006064936447043733
338	 6 	 C2H2 	 C2H2 	 0.03669537453661688 	 0.03669537453661688
338	 15 	 CH3 	 CH3 	 0.00019078827938218726 	 0.00019078827938218726
338	 25 	 Li 	 Li 	 4.0150109618838326e-05 	 4.0150109618838326e-05
339	 22 	 CH4O 	 CH4O 	 0.000304327877541846 	 0.000304327877541846
339	 18 	 H3N 	 NH3 	 0.0006033630212766389 	 0.0006033630212766389
339	 0 	 H2 	 H2 	 1.0776028077026704e-05 	 1.0776028077026704e-05
339	 15 	 CH3 	 CH3 	 0.00019121167500506638 	 0.00019121167500506638
339	 10 	 NO 	 NO 	 0.0005455738815360067 	 0.0005455738815360067
339	 24 	 C 	 C 	 1.3288934115098617e-05 	 1.3288934115098617e-05
339	 25 	 Li 	 Li 	 3.967238886825334e-05 	 3.967238886825334e-05
339	 5 	 F2 	 F2 	 0.00037892391750233667 	 0.00037892391750233667
339	 19 	 HO 	 OH 	 1.0691624121826486e-06 	 1.0691624121826486e-06
339	 7 	 CO 	 OC 	 2.7669812429035185e-05 	 2.7669812429035185e-05
339	 13 	 O3 	 O3 	 0.01757857259499874 	 0.01757857259499874
339	 21 	 HN2O 	 HON2 	 0.006977596573614905 	 0.006977596573614905
339	 20 	 CH 	 CH 	 3.9237811546135986e-07 	 3.9237811546135986e-07
339	 6 	 C2H2 	 C2H2 	 0.014242631510977072 	 0.014242631510977072
339	 4 	 CO2 	 CO2 	 0.0022417124854750524 	 0.0022417124854750524
339	 11 	 NO2 	 NO2 	 0.016657378006565235 	 0.016657378006565235
339	 9 	 Na2 	 Na2 	 1.8836958104931773e-08 	 1.8836958104931773e-08
339	 3 	 CHN 	 CNH 	 0.001954407016056924 	 0.001954407016056924
339	 23 	 HF2 	 HF2 	 0.002783245417204432 	 0.002783245417204432
339	 17 	 H2O 	 OH2 	 2.8587095970367817e-07 	 2.8587095970367817e-07
339	 8 	 HLi 	 LiH 	 1.782186912917117e-05 	 1.782186912917117e-05
339	 2 	 FLi 	 LiF 	 0.006081150930605125 	 0.006081150930605125
339	 16 	 CH2 	 CH2 	 0.004801865663911185 	 0.004801865663911185
339	 12 	 HN 	 NH 	 0.0017712761289024974 	 0.0017712761289024974
339	 1 	 N2 	 N2 	 0.0002102290664802272 	 0.0002102290664802272
339	 14 	 N2O 	 N2O 	 0.014610663424062783 	 0.014610663424062783
340	 21 	 HN2O 	 HON2 	 0.006977530933016768 	 0.006977530933016768
340	 25 	 Li 	 Li 	 4.264822509585159e-05 	 4.264822509585159e-05
340	 4 	 CO2 	 CO2 	 0.0022398117085844554 	 0.0022398117085844554
340	 18 	 H3N 	 NH3 	 0.0006034249516409814 	 0.0006034249516409814
340	 23 	 HF2 	 HF2 	 0.0027832430179219017 	 0.0027832430179219017
340	 20 	 CH 	 CH 	 3.9321878572634135e-07 	 3.9321878572634135e-07
340	 8 	 HLi 	 LiH 	 1.800376013780448e-05 	 1.800376013780448e-05
340	 15 	 CH3 	 CH3 	 0.0001910064709013946 	 0.0001910064709013946
340	 6 	 C2H2 	 C2H2 	 0.031610390961494386 	 0.031610390961494386
340	 10 	 NO 	 NO 	 0.0005290343036176903 	 0.0005290343036176903
340	 3 	 CHN 	 CNH 	 0.0019500114311714206 	 0.0019500114311714206
340	 13 	 O3 	 O3 	 0.018178201257599707 	 0.018178201257599707
340	 24 	 C 	 C 	 1.3263463206759897e-05 	 1.3263463206759897e-05
340	 2 	 FLi 	 LiF 	 0.00608334182350103 	 0.00608334182350103
