AE loss	 11 	 9 	 HN2O 	 HON2 	 0.0008817383640926183
AE loss	 11 	 7 	 Li 	 Li 	 6.659663635742949e-07
AE loss	 11 	 10 	 CH4O 	 CH4O 	 5.939056124827644e-05
AE loss	 12 	 3 	 CHN 	 CNH 	 0.007998934580223788
AE loss	 12 	 13 	 Li 	 Li 	 2.3077581023577062e-07
AE loss	 12 	 4 	 C 	 C 	 5.933638725519176e-06
AE loss	 12 	 11 	 HF2 	 HF2 	 0.0008963603230601139
AE loss	 12 	 6 	 H 	 H 	 5.6695720721766876e-08
AE loss	 12 	 12 	 C 	 C 	 5.298514098190357e-05
AE loss	 12 	 8 	 N 	 N 	 1.0411301353588075e-05
AE loss	 12 	 10 	 CH4O 	 CH4O 	 5.928317531911724e-05
AE loss	 12 	 1 	 N2 	 N2 	 9.97937870918044e-05
AE loss	 12 	 7 	 Li 	 Li 	 7.871462675020227e-07
AE loss	 12 	 5 	 F 	 F 	 3.124592539637241e-07
AE loss	 12 	 2 	 FLi 	 LiF 	 0.008728852304886727
AE loss	 12 	 9 	 HN2O 	 HON2 	 0.00088328378219318
AE loss	 12 	 0 	 H2 	 H2 	 3.520261612378186e-07
AE loss	 13 	 8 	 N 	 N 	 9.63168712188985e-06
AE loss	 13 	 11 	 HF2 	 HF2 	 0.0009013075696038352
AE loss	 13 	 2 	 FLi 	 LiF 	 0.008701760541285377
AE loss	 13 	 13 	 Li 	 Li 	 2.602485552747512e-07
AE loss	 13 	 5 	 F 	 F 	 2.23531081967542e-08
AE loss	 13 	 12 	 C 	 C 	 5.358909714539431e-05
AE loss	 13 	 0 	 H2 	 H2 	 4.2177771780007967e-07
AE loss	 13 	 3 	 CHN 	 CNH 	 0.00783968599084366
AE loss	 13 	 6 	 H 	 H 	 6.233722997272411e-08
AE loss	 13 	 7 	 Li 	 Li 	 8.806769585988105e-07
AE loss	 13 	 9 	 HN2O 	 HON2 	 0.0008869042149293435
AE loss	 13 	 10 	 CH4O 	 CH4O 	 5.9598415072906534e-05
AE loss	 13 	 4 	 C 	 C 	 5.577729701953662e-06
