#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
80	 9 	 Na2 	 Na2 	 3.1121212004206314e-05 	 3.1121212004206314e-05
80	 7 	 CO 	 OC 	 0.000301720735323219 	 0.000301720735323219
80	 2 	 FLi 	 LiF 	 0.006662843086089146 	 0.006662843086089146
80	 19 	 HO 	 OH 	 2.3687159929488163e-05 	 2.3687159929488163e-05
80	 1 	 N2 	 N2 	 1.1293610551979847e-05 	 1.1293610551979847e-05
80	 0 	 H2 	 H2 	 5.473072835722923e-06 	 5.473072835722923e-06
80	 20 	 CH 	 CH 	 1.090621780615936e-06 	 1.090621780615936e-06
80	 17 	 H2O 	 OH2 	 0.00032237329029745874 	 0.00032237329029745874
80	 14 	 N2O 	 N2O 	 0.004711407726043451 	 0.004711407726043451
80	 5 	 F2 	 F2 	 0.00034729700687370407 	 0.00034729700687370407
80	 24 	 C 	 C 	 0.00010667790643134915 	 0.00010667790643134915
80	 15 	 CH3 	 CH3 	 3.568326369631082e-05 	 3.568326369631082e-05
80	 22 	 CH4O 	 CH4O 	 0.0003232142506809462 	 0.0003232142506809462
80	 10 	 NO 	 NO 	 0.00017462126207516888 	 0.00017462126207516888
80	 3 	 CHN 	 CNH 	 0.002500318801383679 	 0.002500318801383679
80	 11 	 NO2 	 NO2 	 0.011253817626714164 	 0.011253817626714164
80	 6 	 C2H2 	 C2H2 	 0.008866472961676546 	 0.008866472961676546
80	 21 	 HN2O 	 HON2 	 0.006619492334802257 	 0.006619492334802257
80	 12 	 HN 	 NH 	 0.0018670286378387074 	 0.0018670286378387074
80	 16 	 CH2 	 CH2 	 0.004044193717213455 	 0.004044193717213455
80	 18 	 H3N 	 NH3 	 0.0009526862099129905 	 0.0009526862099129905
81	 16 	 CH2 	 CH2 	 0.004132543925075217 	 0.004132543925075217
81	 24 	 C 	 C 	 8.431794482419978e-05 	 8.431794482419978e-05
81	 6 	 C2H2 	 C2H2 	 0.020950460643033842 	 0.020950460643033842
81	 22 	 CH4O 	 CH4O 	 0.00035857651400091414 	 0.00035857651400091414
81	 18 	 H3N 	 NH3 	 0.0009897008979207872 	 0.0009897008979207872
81	 9 	 Na2 	 Na2 	 3.107434091533064e-05 	 3.107434091533064e-05
81	 25 	 Li 	 Li 	 5.702045660482541e-05 	 5.702045660482541e-05
81	 19 	 HO 	 OH 	 5.2801422114058737e-08 	 5.2801422114058737e-08
81	 1 	 N2 	 N2 	 3.793353775429109e-05 	 3.793353775429109e-05
81	 11 	 NO2 	 NO2 	 0.012981364672671157 	 0.012981364672671157
81	 3 	 CHN 	 CNH 	 0.002427034360706297 	 0.002427034360706297
81	 13 	 O3 	 O3 	 0.015489288257961295 	 0.015489288257961295
81	 7 	 CO 	 OC 	 5.761785879199819e-05 	 5.761785879199819e-05
81	 21 	 HN2O 	 HON2 	 0.007175348831313658 	 0.007175348831313658
81	 20 	 CH 	 CH 	 3.930056082894125e-06 	 3.930056082894125e-06
81	 4 	 CO2 	 CO2 	 0.0028047104382976163 	 0.0028047104382976163
81	 5 	 F2 	 F2 	 0.000565577168951428 	 0.000565577168951428
81	 0 	 H2 	 H2 	 2.0536994735902316e-08 	 2.0536994735902316e-08
81	 17 	 H2O 	 OH2 	 3.2621001053114984e-05 	 3.2621001053114984e-05
81	 14 	 N2O 	 N2O 	 0.009043220575347729 	 0.009043220575347729
81	 8 	 HLi 	 LiH 	 4.6248668187585577e-07 	 4.6248668187585577e-07
