#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
30	 28 	 Li 	 Li 	 3.150272931134828e-05 	 3.150272931134828e-05
31	 25 	 Cl 	 Cl 	 2.14281890410655e-07 	 2.14281890410655e-07
31	 21 	 H3N 	 NH3 	 0.0001055271122005675 	 0.0001055271122005675
31	 18 	 CH3 	 CH3 	 0.0004134148619179855 	 0.0004134148619179855
31	 15 	 HN 	 NH 	 8.469040892835615e-05 	 8.469040892835615e-05
31	 26 	 F 	 F 	 2.7451152824730178e-05 	 2.7451152824730178e-05
31	 24 	 C 	 C 	 0.00012874384361691765 	 0.00012874384361691765
31	 1 	 N2 	 N2 	 3.5137444728447513e-06 	 3.5137444728447513e-06
31	 35 	 HF2 	 HF2 	 0.001371040157920723 	 0.001371040157920723
31	 13 	 NO 	 NO 	 6.21025000039558e-05 	 6.21025000039558e-05
31	 36 	 C 	 C 	 5.6912334743772035e-05 	 5.6912334743772035e-05
31	 27 	 H 	 H 	 5.108886866878353e-07 	 5.108886866878353e-07
31	 30 	 Na 	 Na 	 5.2185253464420186e-06 	 5.2185253464420186e-06
31	 23 	 CH 	 CH 	 2.792238605625129e-07 	 2.792238605625129e-07
31	 19 	 CH2 	 CH2 	 0.0004044970509687749 	 0.0004044970509687749
31	 16 	 O3 	 O3 	 0.0018203033225363862 	 0.0018203033225363862
31	 0 	 H2 	 H2 	 6.545136489723174e-06 	 6.545136489723174e-06
31	 31 	 O 	 O 	 3.9709387327574076e-05 	 3.9709387327574076e-05
31	 12 	 Na2 	 Na2 	 1.7548335934065255e-08 	 1.7548335934065255e-08
31	 22 	 HO 	 OH 	 1.569751396896144e-05 	 1.569751396896144e-05
31	 14 	 NO2 	 NO2 	 0.003151885129783728 	 0.003151885129783728
31	 17 	 N2O 	 N2O 	 0.002638173721284051 	 0.002638173721284051
31	 28 	 Li 	 Li 	 2.6018653480446117e-05 	 2.6018653480446117e-05
31	 11 	 HLi 	 LiH 	 4.554631684346299e-06 	 4.554631684346299e-06
31	 29 	 N 	 N 	 8.9347778063411e-05 	 8.9347778063411e-05
31	 6 	 F2 	 F2 	 5.8149822138638663e-05 	 5.8149822138638663e-05
31	 2 	 FLi 	 LiF 	 0.006904588307646878 	 0.006904588307646878
31	 9 	 CO 	 OC 	 0.0005302897737586244 	 0.0005302897737586244
31	 8 	 C2H2 	 C2H2 	 5.7815998778784505e-05 	 5.7815998778784505e-05
31	 20 	 H2O 	 OH2 	 4.9133425272908935e-05 	 4.9133425272908935e-05
31	 4 	 CO2 	 CO2 	 0.010351156959797447 	 0.010351156959797447
31	 3 	 CHN 	 CNH 	 0.005619465965018032 	 0.005619465965018032
31	 37 	 Li 	 Li 	 4.4311652602100166e-07 	 4.4311652602100166e-07
32	 25 	 Cl 	 Cl 	 1.4490638709209952e-05 	 1.4490638709209952e-05
32	 24 	 C 	 C 	 0.00011313855398395586 	 0.00011313855398395586
32	 26 	 F 	 F 	 1.6443159913595154e-05 	 1.6443159913595154e-05
32	 21 	 H3N 	 NH3 	 0.00011709780983692676 	 0.00011709780983692676
32	 37 	 Li 	 Li 	 5.112208447349978e-07 	 5.112208447349978e-07
32	 11 	 HLi 	 LiH 	 5.330580853776313e-06 	 5.330580853776313e-06
32	 1 	 N2 	 N2 	 4.465100464011133e-06 	 4.465100464011133e-06
32	 18 	 CH3 	 CH3 	 0.0004377466393945127 	 0.0004377466393945127
32	 12 	 Na2 	 Na2 	 3.778524677559026e-08 	 3.778524677559026e-08
32	 35 	 HF2 	 HF2 	 0.0013791006882887791 	 0.0013791006882887791
32	 15 	 HN 	 NH 	 8.913230715960338e-05 	 8.913230715960338e-05
