#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
21	 6 	 C2H2 	 C2H2 	 0.00041130315499352514 	 0.00041130315499352514
21	 17 	 H2O 	 OH2 	 6.418715160873555e-05 	 6.418715160873555e-05
21	 9 	 Na2 	 Na2 	 1.8705434793805969e-06 	 1.8705434793805969e-06
21	 7 	 CO 	 OC 	 0.0008552044047457448 	 0.0008552044047457448
21	 19 	 HO 	 OH 	 3.86727368421208e-11 	 3.86727368421208e-11
21	 2 	 FLi 	 LiF 	 0.008551589384516748 	 0.008551589384516748
21	 20 	 CH 	 CH 	 2.3736984778445708e-07 	 2.3736984778445708e-07
21	 24 	 C 	 C 	 1.5402391318981023e-05 	 1.5402391318981023e-05
22	 1 	 N2 	 N2 	 3.84037868369547e-05 	 3.84037868369547e-05
22	 8 	 HLi 	 LiH 	 5.438317321310164e-07 	 5.438317321310164e-07
22	 17 	 H2O 	 OH2 	 6.181613913990802e-05 	 6.181613913990802e-05
22	 20 	 CH 	 CH 	 2.5647965936218384e-07 	 2.5647965936218384e-07
22	 9 	 Na2 	 Na2 	 1.7986879041878666e-06 	 1.7986879041878666e-06
22	 21 	 HN2O 	 HON2 	 0.002034706527010713 	 0.002034706527010713
22	 25 	 Li 	 Li 	 1.02094443259391e-05 	 1.02094443259391e-05
22	 15 	 CH3 	 CH3 	 4.7644052450775155e-05 	 4.7644052450775155e-05
22	 2 	 FLi 	 LiF 	 0.00851947791572069 	 0.00851947791572069
22	 14 	 N2O 	 N2O 	 0.0009836187182786936 	 0.0009836187182786936
22	 3 	 CHN 	 CNH 	 0.005972002279710773 	 0.005972002279710773
22	 23 	 HF2 	 HF2 	 0.0014337864144562816 	 0.0014337864144562816
22	 22 	 CH4O 	 CH4O 	 0.00012497162352599297 	 0.00012497162352599297
22	 19 	 HO 	 OH 	 1.1096092488027775e-08 	 1.1096092488027775e-08
22	 6 	 C2H2 	 C2H2 	 0.00037856089319839216 	 0.00037856089319839216
22	 13 	 O3 	 O3 	 0.0011721990765732658 	 0.0011721990765732658
22	 10 	 NO 	 NO 	 6.233699231580172e-06 	 6.233699231580172e-06
22	 18 	 H3N 	 NH3 	 8.196110056075137e-05 	 8.196110056075137e-05
22	 7 	 CO 	 OC 	 0.0008085953778603262 	 0.0008085953778603262
22	 5 	 F2 	 F2 	 3.463228527281902e-05 	 3.463228527281902e-05
22	 4 	 CO2 	 CO2 	 0.012124707861906935 	 0.012124707861906935
22	 11 	 NO2 	 NO2 	 0.001695508994195535 	 0.001695508994195535
22	 16 	 CH2 	 CH2 	 0.0018978936249683606 	 0.0018978936249683606
22	 24 	 C 	 C 	 9.68236133594582e-06 	 9.68236133594582e-06
22	 0 	 H2 	 H2 	 5.60969900293881e-07 	 5.60969900293881e-07
22	 12 	 HN 	 NH 	 0.000405773694169497 	 0.000405773694169497
23	 1 	 N2 	 N2 	 3.157438305275886e-05 	 3.157438305275886e-05
23	 16 	 CH2 	 CH2 	 0.0018940551850457079 	 0.0018940551850457079
23	 11 	 NO2 	 NO2 	 0.0017526853629640264 	 0.0017526853629640264
23	 25 	 Li 	 Li 	 1.2099453527764382e-05 	 1.2099453527764382e-05
23	 5 	 F2 	 F2 	 3.706582575402223e-05 	 3.706582575402223e-05
23	 15 	 CH3 	 CH3 	 5.290204207807498e-05 	 5.290204207807498e-05
23	 21 	 HN2O 	 HON2 	 0.0021237849480921795 	 0.0021237849480921795
23	 7 	 CO 	 OC 	 0.0007896969617555387 	 0.0007896969617555387
23	 24 	 C 	 C 	 9.558483561690221e-06 	 9.558483561690221e-06
23	 2 	 FLi 	 LiF 	 0.008412535167191464 	 0.008412535167191464
23	 6 	 C2H2 	 C2H2 	 0.0003552361843564903 	 0.0003552361843564903
23	 14 	 N2O 	 N2O 	 0.0010653667587778076 	 0.0010653667587778076
23	 4 	 CO2 	 CO2 	 0.011940405455248415 	 0.011940405455248415
23	 8 	 HLi 	 LiH 	 9.371339574341025e-07 	 9.371339574341025e-07
