AE loss	 20 	 6 	 C 	 C 	 6.50112042244202e-06
AE loss	 20 	 10 	 Li 	 Li 	 2.9924479763723166e-06
AE loss	 20 	 5 	 Cl2 	 Cl2 	 0.00039176682618949387
AE loss	 20 	 0 	 H2 	 H2 	 5.031356391696046e-06
AE loss	 20 	 7 	 Cl 	 Cl 	 1.0038068823563415e-07
AE loss	 21 	 7 	 Cl 	 Cl 	 7.360464542016233e-08
AE loss	 21 	 9 	 H 	 H 	 3.943422574665521e-09
AE loss	 21 	 6 	 C 	 C 	 5.875745425133582e-06
AE loss	 21 	 10 	 Li 	 Li 	 3.2821106316838135e-06
AE loss	 21 	 5 	 Cl2 	 Cl2 	 0.0003865538302717167
AE loss	 21 	 0 	 H2 	 H2 	 4.870518372956155e-06
AE loss	 22 	 6 	 C 	 C 	 5.542362472656082e-06
AE loss	 22 	 7 	 Cl 	 Cl 	 1.2474856919961188e-08
AE loss	 22 	 0 	 H2 	 H2 	 4.746624166228142e-06
AE loss	 22 	 9 	 H 	 H 	 3.993503936427672e-09
AE loss	 22 	 5 	 Cl2 	 Cl2 	 0.0003822554990048282
AE loss	 22 	 10 	 Li 	 Li 	 3.854850510449054e-06
