AE loss	 11 	 4 	 CO2 	 CO2 	 0.015140879198487481
AE loss	 11 	 5 	 Cl2 	 Cl2 	 2.365138287052413e-05
AE loss	 11 	 15 	 H 	 H 	 4.8334571952223356e-08
AE loss	 11 	 6 	 F2 	 F2 	 4.844829195204509e-06
AE loss	 12 	 16 	 Li 	 Li 	 6.405225838821723e-06
AE loss	 12 	 13 	 Cl 	 Cl 	 4.111994977235633e-06
AE loss	 12 	 14 	 F 	 F 	 1.9916389701532102e-05
AE loss	 12 	 5 	 Cl2 	 Cl2 	 2.4123824929076806e-05
AE loss	 12 	 0 	 H2 	 H2 	 4.667127580502869e-06
AE loss	 12 	 2 	 FLi 	 LiF 	 0.008540426087432905
AE loss	 12 	 4 	 CO2 	 CO2 	 0.014984469674886553
AE loss	 12 	 1 	 N2 	 N2 	 5.931449342716779e-05
AE loss	 12 	 8 	 CO 	 OC 	 0.0010427644568571574
AE loss	 12 	 6 	 F2 	 F2 	 5.650977542322973e-06
AE loss	 12 	 19 	 O 	 O 	 4.2292313233659924e-05
AE loss	 12 	 7 	 C2H2 	 C2H2 	 0.0005053106338765361
AE loss	 12 	 10 	 HLi 	 LiH 	 4.7713865905412325e-06
AE loss	 12 	 18 	 Na 	 Na 	 1.2115500294311316e-05
AE loss	 12 	 12 	 C 	 C 	 5.714289716324704e-05
AE loss	 12 	 11 	 Na2 	 Na2 	 3.012356383196389e-06
AE loss	 12 	 3 	 CHN 	 CNH 	 0.007973219156794126
AE loss	 12 	 15 	 H 	 H 	 6.06347005787809e-08
AE loss	 12 	 17 	 N 	 N 	 5.843399232491076e-05
AE loss	 12 	 9 	 HCl 	 ClH 	 3.7718100598211275e-06
AE loss	 13 	 10 	 HLi 	 LiH 	 4.720299562443141e-06
AE loss	 13 	 16 	 Li 	 Li 	 8.439103339921467e-06
AE loss	 13 	 15 	 H 	 H 	 5.961760082892779e-08
AE loss	 13 	 13 	 Cl 	 Cl 	 8.906920579666922e-06
AE loss	 13 	 5 	 Cl2 	 Cl2 	 2.5528248612194366e-05
AE loss	 13 	 19 	 O 	 O 	 3.819138698100274e-05
AE loss	 13 	 9 	 HCl 	 ClH 	 3.741068135179877e-06
AE loss	 13 	 17 	 N 	 N 	 5.731544652395811e-05
AE loss	 13 	 12 	 C 	 C 	 5.450566347277241e-05
AE loss	 13 	 4 	 CO2 	 CO2 	 0.014696682929076124
AE loss	 13 	 7 	 C2H2 	 C2H2 	 0.0004814515460894132
AE loss	 13 	 0 	 H2 	 H2 	 5.001343344871881e-06
AE loss	 13 	 11 	 Na2 	 Na2 	 2.958496483977448e-06
AE loss	 13 	 2 	 FLi 	 LiF 	 0.008418325179486137
AE loss	 13 	 14 	 F 	 F 	 1.834171330002752e-05
AE loss	 13 	 18 	 Na 	 Na 	 5.3304086778531585e-06
AE loss	 13 	 3 	 CHN 	 CNH 	 0.007863521204475876
AE loss	 13 	 6 	 F2 	 F2 	 7.156220742138706e-06
AE loss	 13 	 1 	 N2 	 N2 	 4.801030004936682e-05
AE loss	 13 	 8 	 CO 	 OC 	 0.0010012756537444959
AE loss	 14 	 15 	 H 	 H 	 6.239131476305852e-08
AE loss	 14 	 13 	 Cl 	 Cl 	 1.3725650986546478e-05
AE loss	 14 	 7 	 C2H2 	 C2H2 	 0.0004644400003721952
AE loss	 14 	 11 	 Na2 	 Na2 	 2.92465740307981e-06
AE loss	 14 	 8 	 CO 	 OC 	 0.0009951603913382324
AE loss	 14 	 17 	 N 	 N 	 6.056951590356512e-05
AE loss	 14 	 5 	 Cl2 	 Cl2 	 2.606020828791728e-05
AE loss	 14 	 12 	 C 	 C 	 5.92159451799269e-05
AE loss	 14 	 10 	 HLi 	 LiH 	 4.344580378066834e-06
AE loss	 14 	 14 	 F 	 F 	 2.073396678288981e-05
AE loss	 14 	 19 	 O 	 O 	 3.8653419174748566e-05
AE loss	 14 	 1 	 N2 	 N2 	 4.598745521228719e-05
AE loss	 14 	 16 	 Li 	 Li 	 9.063614230347736e-06
AE loss	 14 	 6 	 F2 	 F2 	 7.829863911630385e-06
AE loss	 14 	 2 	 FLi 	 LiF 	 0.008333616947209858
AE loss	 14 	 9 	 HCl 	 ClH 	 3.862939013522631e-06
AE loss	 14 	 4 	 CO2 	 CO2 	 0.014430954791338596
AE loss	 14 	 18 	 Na 	 Na 	 2.4028228851768008e-06
AE loss	 14 	 0 	 H2 	 H2 	 4.646155808743508e-06
AE loss	 14 	 3 	 CHN 	 CNH 	 0.007745884318116904
AE loss	 15 	 3 	 CHN 	 CNH 	 0.007734308021909997
AE loss	 15 	 8 	 CO 	 OC 	 0.0009766637887084113
AE loss	 15 	 4 	 CO2 	 CO2 	 0.01430721232833378
AE loss	 15 	 17 	 N 	 N 	 6.044631931127169e-05
AE loss	 15 	 11 	 Na2 	 Na2 	 2.879467411324827e-06
AE loss	 15 	 1 	 N2 	 N2 	 3.9631173611805e-05
AE loss	 15 	 18 	 Na 	 Na 	 9.363735737563535e-06
AE loss	 15 	 14 	 F 	 F 	 2.3226771756164137e-05
