AE loss	 20 	 7 	 Li 	 Li 	 8.876804518343523e-07
AE loss	 21 	 3 	 CHN 	 CNH 	 0.0072168272429035145
AE loss	 21 	 5 	 F 	 F 	 9.197409599120565e-07
AE loss	 21 	 7 	 Li 	 Li 	 9.297531712334913e-07
AE loss	 21 	 4 	 C 	 C 	 8.50672222303346e-06
AE loss	 21 	 8 	 N 	 N 	 1.5076576003187305e-05
AE loss	 21 	 10 	 Li 	 Li 	 4.836073640420153e-07
AE loss	 21 	 1 	 N2 	 N2 	 6.808276721459318e-05
AE loss	 21 	 6 	 H 	 H 	 1.3664934565655308e-07
AE loss	 21 	 9 	 C 	 C 	 4.9105582986702755e-05
AE loss	 21 	 2 	 FLi 	 LiF 	 0.008267957987262556
AE loss	 21 	 0 	 H2 	 H2 	 3.2232976525565515e-06
AE loss	 22 	 0 	 H2 	 H2 	 3.262562590738316e-06
AE loss	 22 	 3 	 CHN 	 CNH 	 0.0070937077099829885
AE loss	 22 	 5 	 F 	 F 	 7.559694213836862e-07
AE loss	 22 	 6 	 H 	 H 	 1.4541522107039004e-07
AE loss	 22 	 4 	 C 	 C 	 8.214283247075908e-06
AE loss	 22 	 9 	 C 	 C 	 4.849275378302918e-05
AE loss	 22 	 7 	 Li 	 Li 	 1.170531664031811e-06
AE loss	 22 	 2 	 FLi 	 LiF 	 0.008219800389936268
AE loss	 22 	 1 	 N2 	 N2 	 6.344948982030141e-05
AE loss	 22 	 10 	 Li 	 Li 	 5.372420633033694e-07
AE loss	 22 	 8 	 N 	 N 	 1.6295319707000005e-05
AE loss	 23 	 10 	 Li 	 Li 	 5.458937944475177e-07
AE loss	 23 	 3 	 CHN 	 CNH 	 0.006991595357700285
AE loss	 23 	 8 	 N 	 N 	 1.6172810232384024e-05
AE loss	 23 	 6 	 H 	 H 	 1.650091710154899e-07
AE loss	 23 	 1 	 N2 	 N2 	 6.100283604223921e-05
AE loss	 23 	 9 	 C 	 C 	 4.78218521963875e-05
AE loss	 23 	 0 	 H2 	 H2 	 4.514047581152395e-06
AE loss	 23 	 7 	 Li 	 Li 	 1.249614400289255e-06
AE loss	 23 	 4 	 C 	 C 	 8.817470148671748e-06
AE loss	 23 	 2 	 FLi 	 LiF 	 0.00816971347836382
AE loss	 23 	 5 	 F 	 F 	 1.5711622173427239e-06
AE loss	 24 	 5 	 F 	 F 	 1.3875970446959072e-06
AE loss	 24 	 8 	 N 	 N 	 1.5495136426233944e-05
AE loss	 24 	 4 	 C 	 C 	 7.793366398985745e-06
AE loss	 24 	 2 	 FLi 	 LiF 	 0.008129631375947187
AE loss	 24 	 3 	 CHN 	 CNH 	 0.006890504728091643
AE loss	 24 	 9 	 C 	 C 	 4.8167628767590546e-05
AE loss	 24 	 7 	 Li 	 Li 	 1.6242404320671244e-06
AE loss	 24 	 10 	 Li 	 Li 	 5.989977833956641e-07
AE loss	 24 	 6 	 H 	 H 	 1.7009722523673153e-07
AE loss	 24 	 1 	 N2 	 N2 	 5.7583314248551274e-05
AE loss	 24 	 0 	 H2 	 H2 	 5.810846493749407e-06
AE loss	 25 	 8 	 N 	 N 	 1.2046837859605531e-05
AE loss	 25 	 9 	 C 	 C 	 4.799258367972003e-05
AE loss	 25 	 3 	 CHN 	 CNH 	 0.0068092918000990255
AE loss	 25 	 2 	 FLi 	 LiF 	 0.00806777832077047
AE loss	 25 	 4 	 C 	 C 	 6.691404543895713e-06
AE loss	 25 	 5 	 F 	 F 	 1.0389474016198473e-07
AE loss	 25 	 6 	 H 	 H 	 1.8266356259951102e-07
AE loss	 25 	 7 	 Li 	 Li 	 1.7096186328538784e-06
AE loss	 25 	 0 	 H2 	 H2 	 6.695178859539538e-06
