AE loss	 16 	 7 	 Cl 	 Cl 	 4.390699847163604e-06
AE loss	 16 	 8 	 F 	 F 	 2.4908814073286e-05
AE loss	 16 	 0 	 H2 	 H2 	 4.72929119789324e-06
AE loss	 16 	 11 	 N 	 N 	 6.309993103722467e-05
AE loss	 16 	 1 	 N2 	 N2 	 6.306751405923862e-05
AE loss	 16 	 3 	 CHN 	 CNH 	 0.007861059728031363
AE loss	 16 	 12 	 O 	 O 	 4.1598455343250366e-05
AE loss	 16 	 6 	 C 	 C 	 5.4182187648600635e-05
AE loss	 16 	 10 	 Li 	 Li 	 6.928014782111327e-06
AE loss	 16 	 4 	 CO2 	 CO2 	 0.014828117563226556
AE loss	 16 	 2 	 FLi 	 LiF 	 0.008521730491194007
AE loss	 16 	 5 	 Cl2 	 Cl2 	 8.942297478876222e-06
AE loss	 17 	 11 	 N 	 N 	 5.8147589040349426e-05
AE loss	 17 	 12 	 O 	 O 	 3.718165194306728e-05
AE loss	 17 	 2 	 FLi 	 LiF 	 0.008507260329497798
AE loss	 17 	 7 	 Cl 	 Cl 	 2.472293459570217e-05
AE loss	 17 	 10 	 Li 	 Li 	 7.063143100857309e-06
AE loss	 17 	 8 	 F 	 F 	 1.565315446606286e-05
AE loss	 17 	 3 	 CHN 	 CNH 	 0.007770813177475926
AE loss	 17 	 0 	 H2 	 H2 	 4.340056093884634e-06
AE loss	 17 	 9 	 H 	 H 	 6.426735782990591e-08
AE loss	 17 	 6 	 C 	 C 	 5.3974587406650876e-05
AE loss	 17 	 1 	 N2 	 N2 	 5.628440045480314e-05
AE loss	 17 	 5 	 Cl2 	 Cl2 	 9.239650757690137e-06
AE loss	 17 	 4 	 CO2 	 CO2 	 0.014638960098513013
AE loss	 18 	 3 	 CHN 	 CNH 	 0.007706759175598302
AE loss	 18 	 10 	 Li 	 Li 	 7.720614132884372e-06
AE loss	 18 	 8 	 F 	 F 	 2.2592901789857144e-05
AE loss	 18 	 11 	 N 	 N 	 6.600082153827345e-05
AE loss	 18 	 9 	 H 	 H 	 7.250016526307485e-08
AE loss	 18 	 6 	 C 	 C 	 5.963322158849007e-05
AE loss	 18 	 5 	 Cl2 	 Cl2 	 9.59435994231109e-06
AE loss	 18 	 1 	 N2 	 N2 	 5.281229635431073e-05
AE loss	 18 	 12 	 O 	 O 	 4.308752908518527e-05
AE loss	 18 	 0 	 H2 	 H2 	 4.152043444619673e-06
AE loss	 18 	 7 	 Cl 	 Cl 	 5.655427562408782e-06
AE loss	 18 	 4 	 CO2 	 CO2 	 0.014489147815926907
AE loss	 18 	 2 	 FLi 	 LiF 	 0.008408794284289384
AE loss	 19 	 10 	 Li 	 Li 	 8.341459215593745e-06
AE loss	 19 	 6 	 C 	 C 	 6.091013292665792e-05
AE loss	 19 	 12 	 O 	 O 	 4.48045143485558e-05
AE loss	 19 	 1 	 N2 	 N2 	 4.9539010145258705e-05
AE loss	 19 	 0 	 H2 	 H2 	 4.306443465592199e-06
AE loss	 19 	 3 	 CHN 	 CNH 	 0.007582873990263207
AE loss	 19 	 8 	 F 	 F 	 2.1403862673668403e-05
AE loss	 19 	 2 	 FLi 	 LiF 	 0.00836711516802458
AE loss	 19 	 4 	 CO2 	 CO2 	 0.014330471591702875
AE loss	 19 	 9 	 H 	 H 	 8.159846133458212e-08
AE loss	 19 	 11 	 N 	 N 	 6.849513055245432e-05
AE loss	 19 	 5 	 Cl2 	 Cl2 	 1.0595427048496384e-05
AE loss	 19 	 7 	 Cl 	 Cl 	 6.050988892116815e-06
AE loss	 20 	 0 	 H2 	 H2 	 4.4612942056579015e-06
AE loss	 20 	 10 	 Li 	 Li 	 9.79426745017402e-06
AE loss	 20 	 3 	 CHN 	 CNH 	 0.007503197175965445
AE loss	 20 	 4 	 CO2 	 CO2 	 0.014165707243862916
AE loss	 20 	 6 	 C 	 C 	 7.002958471396856e-05
AE loss	 20 	 1 	 N2 	 N2 	 4.341511566598026e-05
AE loss	 20 	 12 	 O 	 O 	 5.583090670851754e-05
AE loss	 20 	 8 	 F 	 F 	 3.165430374867254e-05
AE loss	 20 	 2 	 FLi 	 LiF 	 0.008279078069621183
AE loss	 20 	 11 	 N 	 N 	 8.113601353062233e-05
AE loss	 20 	 5 	 Cl2 	 Cl2 	 1.1554559425606237e-05
AE loss	 20 	 9 	 H 	 H 	 9.511443879683846e-08
AE loss	 20 	 7 	 Cl 	 Cl 	 2.231229197268892e-06
AE loss	 21 	 0 	 H2 	 H2 	 4.656866630252877e-06
AE loss	 21 	 8 	 F 	 F 	 2.4685592157152e-05
AE loss	 21 	 5 	 Cl2 	 Cl2 	 1.1722538447410847e-05
AE loss	 21 	 7 	 Cl 	 Cl 	 5.359715937352221e-06
AE loss	 21 	 3 	 CHN 	 CNH 	 0.007403571962615099
AE loss	 21 	 12 	 O 	 O 	 4.871055557430623e-05
AE loss	 21 	 6 	 C 	 C 	 7.066537902472316e-05
AE loss	 21 	 11 	 N 	 N 	 7.508105276154906e-05
AE loss	 21 	 1 	 N2 	 N2 	 3.883316513911808e-05
AE loss	 21 	 9 	 H 	 H 	 9.178819991173224e-08
AE loss	 21 	 10 	 Li 	 Li 	 1.0570645344819716e-05
AE loss	 21 	 4 	 CO2 	 CO2 	 0.01393061918169644
AE loss	 21 	 2 	 FLi 	 LiF 	 0.008211702518980199
AE loss	 22 	 8 	 F 	 F 	 1.8633306382748988e-05
AE loss	 22 	 7 	 Cl 	 Cl 	 1.0269786790699267e-05
AE loss	 22 	 10 	 Li 	 Li 	 1.093933234507036e-05
AE loss	 22 	 0 	 H2 	 H2 	 4.282411522800265e-06
AE loss	 22 	 2 	 FLi 	 LiF 	 0.008178346999832265
AE loss	 22 	 1 	 N2 	 N2 	 3.736141155060753e-05
AE loss	 22 	 6 	 C 	 C 	 7.067813075853978e-05
AE loss	 22 	 9 	 H 	 H 	 9.793421477848472e-08
AE loss	 22 	 12 	 O 	 O 	 4.587502983095022e-05
AE loss	 22 	 11 	 N 	 N 	 7.356114710854915e-05
AE loss	 22 	 3 	 CHN 	 CNH 	 0.007311129732559304
AE loss	 22 	 5 	 Cl2 	 Cl2 	 1.230866958676716e-05
AE loss	 22 	 4 	 CO2 	 CO2 	 0.013768569718585316
AE loss	 23 	 12 	 O 	 O 	 4.198889967260927e-05
AE loss	 23 	 9 	 H 	 H 	 1.0005838895456305e-07
AE loss	 23 	 11 	 N 	 N 	 7.091785670060495e-05
AE loss	 23 	 6 	 C 	 C 	 6.80863544489394e-05
AE loss	 23 	 7 	 Cl 	 Cl 	 1.986334521484513e-05
AE loss	 23 	 1 	 N2 	 N2 	 3.311927471993661e-05
AE loss	 23 	 8 	 F 	 F 	 1.5360702079794484e-05
AE loss	 23 	 5 	 Cl2 	 Cl2 	 1.277383837975635e-05
AE loss	 23 	 4 	 CO2 	 CO2 	 0.013659765357027842
AE loss	 23 	 2 	 FLi 	 LiF 	 0.008103321270905276
AE loss	 23 	 10 	 Li 	 Li 	 1.2192481117340418e-05
