#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
47	 2 	 FLi 	 LiF 	 0.007215588074972974 	 0.007215588074972974
47	 24 	 C 	 C 	 3.549276806813539e-05 	 3.549276806813539e-05
47	 21 	 HN2O 	 HON2 	 0.004344921976518944 	 0.004344921976518944
47	 8 	 HLi 	 LiH 	 1.711089207795871e-09 	 1.711089207795871e-09
47	 9 	 Na2 	 Na2 	 2.0676975309708616e-08 	 2.0676975309708616e-08
47	 16 	 CH2 	 CH2 	 0.0030029562179676684 	 0.0030029562179676684
47	 0 	 H2 	 H2 	 3.0326845951759166e-08 	 3.0326845951759166e-08
47	 10 	 NO 	 NO 	 8.647607602103597e-05 	 8.647607602103597e-05
47	 19 	 HO 	 OH 	 1.309235379675361e-05 	 1.309235379675361e-05
47	 23 	 HF2 	 HF2 	 0.0025636536631341656 	 0.0025636536631341656
47	 17 	 H2O 	 OH2 	 0.0002370735812168443 	 0.0002370735812168443
47	 20 	 CH 	 CH 	 2.5253907760945407e-06 	 2.5253907760945407e-06
47	 3 	 CHN 	 CNH 	 0.0040329184406936195 	 0.0040329184406936195
47	 11 	 NO2 	 NO2 	 0.004633495879761324 	 0.004633495879761324
47	 12 	 HN 	 NH 	 0.0011110584065531317 	 0.0011110584065531317
47	 22 	 CH4O 	 CH4O 	 0.00024536124539161164 	 0.00024536124539161164
47	 1 	 N2 	 N2 	 1.2355180838162438e-07 	 1.2355180838162438e-07
47	 6 	 C2H2 	 C2H2 	 0.0001671829223288207 	 0.0001671829223288207
47	 7 	 CO 	 OC 	 0.00040112024156681476 	 0.00040112024156681476
47	 5 	 F2 	 F2 	 0.0001918242282566542 	 0.0001918242282566542
47	 15 	 CH3 	 CH3 	 1.5112909291677368e-05 	 1.5112909291677368e-05
47	 25 	 Li 	 Li 	 3.991034139668167e-05 	 3.991034139668167e-05
48	 0 	 H2 	 H2 	 1.819827473866698e-08 	 1.819827473866698e-08
48	 14 	 N2O 	 N2O 	 0.0036117853495947587 	 0.0036117853495947587
48	 9 	 Na2 	 Na2 	 2.55682516014214e-08 	 2.55682516014214e-08
48	 5 	 F2 	 F2 	 0.00019211741149882333 	 0.00019211741149882333
48	 10 	 NO 	 NO 	 8.75682051187615e-05 	 8.75682051187615e-05
48	 17 	 H2O 	 OH2 	 0.0002388580341930681 	 0.0002388580341930681
48	 6 	 C2H2 	 C2H2 	 0.00016268812760603202 	 0.00016268812760603202
48	 24 	 C 	 C 	 3.6802881837553674e-05 	 3.6802881837553674e-05
48	 1 	 N2 	 N2 	 1.634092459329361e-07 	 1.634092459329361e-07
48	 20 	 CH 	 CH 	 2.460093832490474e-06 	 2.460093832490474e-06
48	 11 	 NO2 	 NO2 	 0.004645667183398932 	 0.004645667183398932
48	 2 	 FLi 	 LiF 	 0.0071945664753423 	 0.0071945664753423
48	 22 	 CH4O 	 CH4O 	 0.00024521427069516463 	 0.00024521427069516463
48	 7 	 CO 	 OC 	 0.0003998114045569884 	 0.0003998114045569884
48	 21 	 HN2O 	 HON2 	 0.004372641239423563 	 0.004372641239423563
48	 25 	 Li 	 Li 	 3.7180877570894486e-05 	 3.7180877570894486e-05
48	 23 	 HF2 	 HF2 	 0.0025711562820001565 	 0.0025711562820001565
48	 15 	 CH3 	 CH3 	 1.4790691120308e-05 	 1.4790691120308e-05
48	 3 	 CHN 	 CNH 	 0.00400840964584564 	 0.00400840964584564
48	 16 	 CH2 	 CH2 	 0.003010467562062561 	 0.003010467562062561
48	 8 	 HLi 	 LiH 	 3.6484211207637046e-09 	 3.6484211207637046e-09
48	 4 	 CO2 	 CO2 	 0.007398511819408596 	 0.007398511819408596
48	 18 	 H3N 	 NH3 	 0.0005462540341728038 	 0.0005462540341728038
48	 13 	 O3 	 O3 	 0.003938121828068025 	 0.003938121828068025
48	 19 	 HO 	 OH 	 1.3560198438242359e-05 	 1.3560198438242359e-05
48	 12 	 HN 	 NH 	 0.0011230516488399149 	 0.0011230516488399149
49	 20 	 CH 	 CH 	 2.437090796625196e-06 	 2.437090796625196e-06
49	 7 	 CO 	 OC 	 0.00039529308681714593 	 0.00039529308681714593
49	 11 	 NO2 	 NO2 	 0.0046972238967153855 	 0.0046972238967153855
49	 6 	 C2H2 	 C2H2 	 0.0001637092859235024 	 0.0001637092859235024
49	 5 	 F2 	 F2 	 0.00019537515161813004 	 0.00019537515161813004
49	 13 	 O3 	 O3 	 0.003979911021319582 	 0.003979911021319582
49	 12 	 HN 	 NH 	 0.0011312842439334754 	 0.0011312842439334754
49	 3 	 CHN 	 CNH 	 0.003984301495641703 	 0.003984301495641703
49	 25 	 Li 	 Li 	 3.882905509034679e-05 	 3.882905509034679e-05
49	 14 	 N2O 	 N2O 	 0.003692216520754809 	 0.003692216520754809
49	 1 	 N2 	 N2 	 3.6800739738101554e-07 	 3.6800739738101554e-07
49	 16 	 CH2 	 CH2 	 0.0030209278875959708 	 0.0030209278875959708
49	 10 	 NO 	 NO 	 9.049786302405871e-05 	 9.049786302405871e-05
49	 2 	 FLi 	 LiF 	 0.00716972421624754 	 0.00716972421624754
49	 21 	 HN2O 	 HON2 	 0.004425979760555972 	 0.004425979760555972
49	 19 	 HO 	 OH 	 1.3767458866813655e-05 	 1.3767458866813655e-05
49	 23 	 HF2 	 HF2 	 0.0025943000719222415 	 0.0025943000719222415
49	 4 	 CO2 	 CO2 	 0.00730509310731612 	 0.00730509310731612
