#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
55	 13 	 O3 	 O3 	 0.0025663318156601343 	 0.0025663318156601343
55	 15 	 CH3 	 CH3 	 6.699547709594217e-09 	 6.699547709594217e-09
56	 21 	 HN2O 	 HON2 	 0.002877645401201843 	 0.002877645401201843
56	 15 	 CH3 	 CH3 	 1.2781696216947042e-08 	 1.2781696216947042e-08
56	 17 	 H2O 	 OH2 	 0.0002543726994550562 	 0.0002543726994550562
56	 0 	 H2 	 H2 	 4.250998837747718e-06 	 4.250998837747718e-06
56	 19 	 HO 	 OH 	 1.17673849545606e-05 	 1.17673849545606e-05
56	 11 	 NO2 	 NO2 	 0.0033442295462610713 	 0.0033442295462610713
56	 14 	 N2O 	 N2O 	 0.0033481148316581687 	 0.0033481148316581687
56	 8 	 HLi 	 LiH 	 8.4626718994148e-06 	 8.4626718994148e-06
56	 16 	 CH2 	 CH2 	 0.002833759935783954 	 0.002833759935783954
56	 6 	 C2H2 	 C2H2 	 5.375658184697147e-05 	 5.375658184697147e-05
56	 3 	 CHN 	 CNH 	 0.0029074011760942486 	 0.0029074011760942486
56	 5 	 F2 	 F2 	 0.00014149678338626852 	 0.00014149678338626852
56	 2 	 FLi 	 LiF 	 0.007496735339908965 	 0.007496735339908965
56	 13 	 O3 	 O3 	 0.002550570683424148 	 0.002550570683424148
56	 20 	 CH 	 CH 	 8.548069776644529e-08 	 8.548069776644529e-08
56	 7 	 CO 	 OC 	 0.00040553712311974566 	 0.00040553712311974566
56	 25 	 Li 	 Li 	 5.151377330555623e-06 	 5.151377330555623e-06
56	 9 	 Na2 	 Na2 	 3.2940725920658768e-06 	 3.2940725920658768e-06
56	 12 	 HN 	 NH 	 0.0008505899615697685 	 0.0008505899615697685
56	 10 	 NO 	 NO 	 1.5777545903394722e-05 	 1.5777545903394722e-05
56	 24 	 C 	 C 	 5.164202293285456e-05 	 5.164202293285456e-05
56	 23 	 HF2 	 HF2 	 0.0017465497929661723 	 0.0017465497929661723
56	 18 	 H3N 	 NH3 	 0.0005238492964768713 	 0.0005238492964768713
56	 1 	 N2 	 N2 	 4.8915793286723784e-06 	 4.8915793286723784e-06
56	 4 	 CO2 	 CO2 	 0.008264239601611269 	 0.008264239601611269
56	 22 	 CH4O 	 CH4O 	 0.00011986728448413086 	 0.00011986728448413086
57	 25 	 Li 	 Li 	 4.646331362889063e-06 	 4.646331362889063e-06
57	 24 	 C 	 C 	 5.1654831621694763e-05 	 5.1654831621694763e-05
57	 11 	 NO2 	 NO2 	 0.003334994325299619 	 0.003334994325299619
57	 12 	 HN 	 NH 	 0.0008501262108130653 	 0.0008501262108130653
57	 23 	 HF2 	 HF2 	 0.0017466471575938772 	 0.0017466471575938772
57	 3 	 CHN 	 CNH 	 0.0029062627114110865 	 0.0029062627114110865
57	 18 	 H3N 	 NH3 	 0.0005236106314162345 	 0.0005236106314162345
57	 5 	 F2 	 F2 	 0.00014147248622766673 	 0.00014147248622766673
57	 9 	 Na2 	 Na2 	 3.295422547658344e-06 	 3.295422547658344e-06
57	 13 	 O3 	 O3 	 0.0025490160178110685 	 0.0025490160178110685
57	 16 	 CH2 	 CH2 	 0.0028323645950582206 	 0.0028323645950582206
57	 4 	 CO2 	 CO2 	 0.008261934915301448 	 0.008261934915301448
57	 0 	 H2 	 H2 	 4.656941741858439e-06 	 4.656941741858439e-06
57	 19 	 HO 	 OH 	 1.1767588286616579e-05 	 1.1767588286616579e-05
57	 17 	 H2O 	 OH2 	 0.0002540649709383399 	 0.0002540649709383399
57	 7 	 CO 	 OC 	 0.0004054873247926226 	 0.0004054873247926226
57	 8 	 HLi 	 LiH 	 8.42337491919906e-06 	 8.42337491919906e-06
57	 20 	 CH 	 CH 	 8.707711116891866e-08 	 8.707711116891866e-08
57	 10 	 NO 	 NO 	 1.579685027596621e-05 	 1.579685027596621e-05
57	 15 	 CH3 	 CH3 	 1.5072468447677825e-08 	 1.5072468447677825e-08
57	 14 	 N2O 	 N2O 	 0.003340514360541667 	 0.003340514360541667
57	 21 	 HN2O 	 HON2 	 0.0028682785170985707 	 0.0028682785170985707
57	 6 	 C2H2 	 C2H2 	 5.383166217324928e-05 	 5.383166217324928e-05
57	 22 	 CH4O 	 CH4O 	 0.00011997831711176161 	 0.00011997831711176161
57	 2 	 FLi 	 LiF 	 0.007477931276866853 	 0.007477931276866853
57	 1 	 N2 	 N2 	 4.828825697883933e-06 	 4.828825697883933e-06
58	 19 	 HO 	 OH 	 1.1731544486017698e-05 	 1.1731544486017698e-05
58	 21 	 HN2O 	 HON2 	 0.0028689886280983587 	 0.0028689886280983587
58	 11 	 NO2 	 NO2 	 0.0033384161601388122 	 0.0033384161601388122
58	 13 	 O3 	 O3 	 0.0025509903379275643 	 0.0025509903379275643
58	 23 	 HF2 	 HF2 	 0.0017475983640619184 	 0.0017475983640619184
58	 8 	 HLi 	 LiH 	 8.319492119580329e-06 	 8.319492119580329e-06
58	 18 	 H3N 	 NH3 	 0.0005245372352846205 	 0.0005245372352846205
58	 7 	 CO 	 OC 	 0.00040489080777535245 	 0.00040489080777535245
58	 24 	 C 	 C 	 5.193234827593606e-05 	 5.193234827593606e-05
58	 6 	 C2H2 	 C2H2 	 5.501084764473924e-05 	 5.501084764473924e-05
