AE loss	 8 	 21 	 H3N 	 NH3 	 1.1067435734611979e-07
AE loss	 8 	 37 	 Li 	 Li 	 9.778801632317348e-09
AE loss	 8 	 15 	 HN 	 NH 	 2.3594799755114535e-05
AE loss	 8 	 3 	 CHN 	 CNH 	 0.008180091857255493
AE loss	 9 	 6 	 F2 	 F2 	 6.055160218998491e-06
AE loss	 9 	 24 	 C 	 C 	 6.49303315099278e-05
AE loss	 9 	 0 	 H2 	 H2 	 5.110683789218058e-06
AE loss	 9 	 11 	 HLi 	 LiH 	 4.689955160130447e-06
AE loss	 9 	 31 	 O 	 O 	 7.074480678361214e-05
AE loss	 9 	 1 	 N2 	 N2 	 6.0947421417056536e-05
AE loss	 9 	 13 	 NO 	 NO 	 1.5562455922618097e-06
AE loss	 9 	 30 	 Na 	 Na 	 6.075906695938879e-05
AE loss	 9 	 12 	 Na2 	 Na2 	 2.5366030973457424e-06
AE loss	 9 	 35 	 HF2 	 HF2 	 0.0009176537122145664
AE loss	 9 	 29 	 N 	 N 	 8.000908208587709e-05
AE loss	 9 	 8 	 C2H2 	 C2H2 	 0.0005045144445974506
AE loss	 9 	 23 	 CH 	 CH 	 1.8992316078160611e-06
AE loss	 9 	 2 	 FLi 	 LiF 	 0.00859973960540461
AE loss	 9 	 3 	 CHN 	 CNH 	 0.008069770140562265
AE loss	 9 	 20 	 H2O 	 OH2 	 2.424657572770824e-06
AE loss	 9 	 22 	 HO 	 OH 	 4.783371989250753e-06
AE loss	 9 	 17 	 N2O 	 N2O 	 0.0004928585074234433
AE loss	 9 	 16 	 O3 	 O3 	 0.000368736936576972
AE loss	 9 	 27 	 H 	 H 	 1.0832839606604294e-07
AE loss	 9 	 21 	 H3N 	 NH3 	 1.1644743706557325e-07
AE loss	 9 	 37 	 Li 	 Li 	 1.8191971809818597e-08
AE loss	 9 	 26 	 F 	 F 	 5.435010278245302e-05
AE loss	 9 	 18 	 CH3 	 CH3 	 0.00011398800865125181
AE loss	 9 	 14 	 NO2 	 NO2 	 0.0009735921141522299
AE loss	 9 	 9 	 CO 	 OC 	 0.0010335114207747017
AE loss	 9 	 36 	 C 	 C 	 5.8830340354947585e-05
AE loss	 9 	 28 	 Li 	 Li 	 8.642222335581174e-06
AE loss	 9 	 15 	 HN 	 NH 	 2.6215248849638713e-05
AE loss	 9 	 4 	 CO2 	 CO2 	 0.014835950913542947
AE loss	 9 	 19 	 CH2 	 CH2 	 0.00016336945392959613
AE loss	 9 	 25 	 Cl 	 Cl 	 4.17656407512338e-05
AE loss	 10 	 29 	 N 	 N 	 7.51535531007419e-05
AE loss	 10 	 36 	 C 	 C 	 5.9418374794109084e-05
AE loss	 10 	 4 	 CO2 	 CO2 	 0.014727715789646295
AE loss	 10 	 18 	 CH3 	 CH3 	 0.00011985998495169252
AE loss	 10 	 26 	 F 	 F 	 4.0809584703843646e-05
AE loss	 10 	 23 	 CH 	 CH 	 1.6610094256178121e-06
AE loss	 10 	 14 	 NO2 	 NO2 	 0.0010648079329873793
AE loss	 10 	 22 	 HO 	 OH 	 5.377107585631495e-06
AE loss	 10 	 35 	 HF2 	 HF2 	 0.0009372340023055104
AE loss	 10 	 8 	 C2H2 	 C2H2 	 0.00045771086269351423
AE loss	 10 	 9 	 CO 	 OC 	 0.0009979767191526528
AE loss	 10 	 16 	 O3 	 O3 	 0.0004507307072443892
AE loss	 10 	 3 	 CHN 	 CNH 	 0.00791991362513871
AE loss	 10 	 20 	 H2O 	 OH2 	 7.116046323282542e-07
AE loss	 10 	 25 	 Cl 	 Cl 	 1.5163024901555713e-06
AE loss	 10 	 27 	 H 	 H 	 1.238533129991059e-07
AE loss	 10 	 12 	 Na2 	 Na2 	 2.4982240867687836e-06
AE loss	 10 	 6 	 F2 	 F2 	 9.368289153284952e-06
AE loss	 10 	 15 	 HN 	 NH 	 2.706564299272335e-05
AE loss	 10 	 11 	 HLi 	 LiH 	 4.341396745245105e-06
AE loss	 10 	 37 	 Li 	 Li 	 1.1565724738878815e-08
AE loss	 10 	 28 	 Li 	 Li 	 1.2246968641904365e-05
AE loss	 10 	 19 	 CH2 	 CH2 	 0.00016956876960605078
AE loss	 10 	 2 	 FLi 	 LiF 	 0.008437009252160153
