AE loss	 5 	 19 	 H2O 	 OH2 	 1.5836196031197272e-05
AE loss	 5 	 25 	 H 	 H 	 2.1732730452870152e-08
AE loss	 5 	 21 	 HO 	 OH 	 3.111795821934632e-06
AE loss	 5 	 0 	 H2 	 H2 	 3.280464409504846e-06
AE loss	 5 	 16 	 N2O 	 N2O 	 0.0001471311726646738
AE loss	 5 	 11 	 Na2 	 Na2 	 2.5303325328277566e-06
AE loss	 5 	 3 	 CHN 	 CNH 	 0.008792866023874813
AE loss	 5 	 4 	 CO2 	 CO2 	 0.0166083232423869
AE loss	 5 	 18 	 CH2 	 CH2 	 0.00012437435892189498
AE loss	 5 	 13 	 NO2 	 NO2 	 0.0005088570262530151
AE loss	 5 	 23 	 Cl 	 Cl 	 1.0499485028237242e-06
AE loss	 5 	 28 	 Na 	 Na 	 1.5696007778335525e-05
AE loss	 5 	 9 	 HCl 	 ClH 	 3.531705349464247e-06
AE loss	 5 	 26 	 Li 	 Li 	 2.6396678926446013e-06
AE loss	 5 	 22 	 C 	 C 	 3.437603210279936e-05
AE loss	 5 	 15 	 O3 	 O3 	 0.00013264985526511221
AE loss	 5 	 12 	 NO 	 NO 	 3.757393199503113e-07
AE loss	 5 	 24 	 F 	 F 	 2.7155112353287406e-05
AE loss	 5 	 14 	 HN 	 NH 	 1.692944088728071e-05
AE loss	 5 	 2 	 FLi 	 LiF 	 0.00900718341162899
AE loss	 5 	 29 	 O 	 O 	 3.3231123425337334e-05
AE loss	 5 	 8 	 CO 	 OC 	 0.0011951376193067391
AE loss	 5 	 7 	 C2H2 	 C2H2 	 0.0006625789048941744
AE loss	 5 	 17 	 CH3 	 CH3 	 7.936490058635407e-05
AE loss	 5 	 5 	 Cl2 	 Cl2 	 1.807803675505436e-05
AE loss	 6 	 5 	 Cl2 	 Cl2 	 1.8021332326645822e-05
AE loss	 6 	 1 	 N2 	 N2 	 9.938763820530332e-05
AE loss	 6 	 29 	 O 	 O 	 2.2542545367856447e-05
AE loss	 6 	 4 	 CO2 	 CO2 	 0.016262448708032708
AE loss	 6 	 7 	 C2H2 	 C2H2 	 0.0006472791325841569
AE loss	 6 	 12 	 NO 	 NO 	 9.716773092187064e-08
AE loss	 6 	 19 	 H2O 	 OH2 	 1.0930288153137287e-05
AE loss	 6 	 24 	 F 	 F 	 9.378415753781361e-06
AE loss	 6 	 25 	 H 	 H 	 2.7667379640943568e-08
AE loss	 6 	 9 	 HCl 	 ClH 	 3.631952044050692e-06
AE loss	 6 	 26 	 Li 	 Li 	 3.0352057327248868e-06
AE loss	 6 	 22 	 C 	 C 	 2.8174270661029882e-05
AE loss	 6 	 16 	 N2O 	 N2O 	 0.0002463043356715157
AE loss	 6 	 8 	 CO 	 OC 	 0.001159719721977856
AE loss	 6 	 27 	 N 	 N 	 2.7475394339472843e-05
AE loss	 6 	 11 	 Na2 	 Na2 	 2.752195760233767e-06
AE loss	 6 	 21 	 HO 	 OH 	 3.995631644417058e-06
AE loss	 6 	 3 	 CHN 	 CNH 	 0.008584058619845162
AE loss	 6 	 13 	 NO2 	 NO2 	 0.0006635235712566111
AE loss	 6 	 23 	 Cl 	 Cl 	 8.527029880413138e-05
AE loss	 6 	 18 	 CH2 	 CH2 	 0.00013700024833913324
AE loss	 6 	 14 	 HN 	 NH 	 1.941202247372142e-05
AE loss	 6 	 28 	 Na 	 Na 	 4.997464066974315e-06
AE loss	 6 	 10 	 HLi 	 LiH 	 4.4938305322085694e-06
AE loss	 6 	 17 	 CH3 	 CH3 	 8.456009356499722e-05
AE loss	 6 	 2 	 FLi 	 LiF 	 0.00887517878868253
AE loss	 6 	 0 	 H2 	 H2 	 4.3374502957130715e-06
AE loss	 6 	 15 	 O3 	 O3 	 0.00019979392461277624
AE loss	 6 	 6 	 F2 	 F2 	 2.298306937770028e-06
AE loss	 6 	 20 	 H3N 	 NH3 	 5.985354375313312e-06
AE loss	 7 	 1 	 N2 	 N2 	 8.674699211206108e-05
AE loss	 7 	 21 	 HO 	 OH 	 3.245490719533284e-06
AE loss	 7 	 11 	 Na2 	 Na2 	 2.747290635107042e-06
AE loss	 7 	 13 	 NO2 	 NO2 	 0.0006800135794429833
AE loss	 7 	 14 	 HN 	 NH 	 1.869824568588575e-05
AE loss	 7 	 29 	 O 	 O 	 5.389113728194757e-05
AE loss	 7 	 16 	 N2O 	 N2O 	 0.00028020821707751324
AE loss	 7 	 18 	 CH2 	 CH2 	 0.00012929030079415353
AE loss	 7 	 28 	 Na 	 Na 	 4.6810788442890844e-05
AE loss	 7 	 3 	 CHN 	 CNH 	 0.008401447969513056
AE loss	 7 	 20 	 H3N 	 NH3 	 5.970857834104142e-06
AE loss	 7 	 5 	 Cl2 	 Cl2 	 1.6019966382489714e-05
AE loss	 7 	 4 	 CO2 	 CO2 	 0.01582017977631996
AE loss	 7 	 26 	 Li 	 Li 	 4.954540906654039e-06
AE loss	 7 	 7 	 C2H2 	 C2H2 	 0.0006058237110372944
AE loss	 7 	 22 	 C 	 C 	 4.980722615846235e-05
AE loss	 7 	 9 	 HCl 	 ClH 	 2.4670443567948106e-06
AE loss	 7 	 24 	 F 	 F 	 4.313857720816388e-05
AE loss	 7 	 17 	 CH3 	 CH3 	 8.34024518320938e-05
AE loss	 7 	 25 	 H 	 H 	 5.5075873466500364e-08
AE loss	 7 	 8 	 CO 	 OC 	 0.0011240207960421006
AE loss	 7 	 0 	 H2 	 H2 	 4.185076233529814e-06
AE loss	 7 	 27 	 N 	 N 	 5.642211409330002e-05
AE loss	 7 	 6 	 F2 	 F2 	 3.1657008713589627e-06
AE loss	 7 	 12 	 NO 	 NO 	 1.5049638556934963e-07
AE loss	 7 	 10 	 HLi 	 LiH 	 4.259155291025281e-06
AE loss	 7 	 23 	 Cl 	 Cl 	 4.0258358704019285e-06
AE loss	 7 	 19 	 H2O 	 OH2 	 8.797872655728209e-06
AE loss	 7 	 2 	 FLi 	 LiF 	 0.008756018671148265
AE loss	 7 	 15 	 O3 	 O3 	 0.00024413670650787948
AE loss	 8 	 28 	 Na 	 Na 	 1.1432690080511265e-05
AE loss	 8 	 23 	 Cl 	 Cl 	 2.354765957710868e-06
AE loss	 8 	 26 	 Li 	 Li 	 4.5527125872992894e-06
AE loss	 8 	 5 	 Cl2 	 Cl2 	 1.6538945929082442e-05
AE loss	 8 	 9 	 HCl 	 ClH 	 2.843748554106378e-06
AE loss	 8 	 25 	 H 	 H 	 4.3591442091170125e-08
AE loss	 8 	 8 	 CO 	 OC 	 0.0011073832738175233
