#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
70	 21 	 HN2O 	 HON2 	 0.004742856194846764 	 0.004742856194846764
70	 12 	 HN 	 NH 	 0.0011697980917850547 	 0.0011697980917850547
70	 0 	 H2 	 H2 	 5.819168855555365e-08 	 5.819168855555365e-08
70	 25 	 Li 	 Li 	 4.218582724332682e-05 	 4.218582724332682e-05
70	 3 	 CHN 	 CNH 	 0.0035383313060817602 	 0.0035383313060817602
70	 11 	 NO2 	 NO2 	 0.005047773876856303 	 0.005047773876856303
70	 15 	 CH3 	 CH3 	 3.6224311235368706e-05 	 3.6224311235368706e-05
70	 14 	 N2O 	 N2O 	 0.003802579872863035 	 0.003802579872863035
71	 10 	 NO 	 NO 	 0.00010911896941335673 	 0.00010911896941335673
71	 23 	 HF2 	 HF2 	 0.0029820967527352327 	 0.0029820967527352327
71	 18 	 H3N 	 NH3 	 0.0006491059871788542 	 0.0006491059871788542
71	 0 	 H2 	 H2 	 2.703505256429643e-07 	 2.703505256429643e-07
71	 6 	 C2H2 	 C2H2 	 0.00015013359900641863 	 0.00015013359900641863
71	 21 	 HN2O 	 HON2 	 0.00474555437473322 	 0.00474555437473322
71	 3 	 CHN 	 CNH 	 0.0035300441244333646 	 0.0035300441244333646
71	 8 	 HLi 	 LiH 	 6.331475515688036e-07 	 6.331475515688036e-07
71	 11 	 NO2 	 NO2 	 0.005045717409090902 	 0.005045717409090902
71	 25 	 Li 	 Li 	 4.475017639042859e-05 	 4.475017639042859e-05
71	 15 	 CH3 	 CH3 	 3.623224093406599e-05 	 3.623224093406599e-05
71	 9 	 Na2 	 Na2 	 1.4482837497087668e-05 	 1.4482837497087668e-05
71	 17 	 H2O 	 OH2 	 0.0002492522598966302 	 0.0002492522598966302
71	 14 	 N2O 	 N2O 	 0.003797684519679649 	 0.003797684519679649
71	 12 	 HN 	 NH 	 0.0011695202235419606 	 0.0011695202235419606
71	 19 	 HO 	 OH 	 1.2747908241379595e-05 	 1.2747908241379595e-05
71	 22 	 CH4O 	 CH4O 	 0.00027778628604207986 	 0.00027778628604207986
71	 16 	 CH2 	 CH2 	 0.003262716731524457 	 0.003262716731524457
71	 2 	 FLi 	 LiF 	 0.007069372312435533 	 0.007069372312435533
71	 13 	 O3 	 O3 	 0.0046275553184122655 	 0.0046275553184122655
71	 20 	 CH 	 CH 	 3.2985856287456e-06 	 3.2985856287456e-06
71	 24 	 C 	 C 	 2.8608393350795466e-05 	 2.8608393350795466e-05
71	 7 	 CO 	 OC 	 0.00035541979813991624 	 0.00035541979813991624
71	 5 	 F2 	 F2 	 0.00023352315325701525 	 0.00023352315325701525
71	 1 	 N2 	 N2 	 1.853051487206749e-06 	 1.853051487206749e-06
71	 4 	 CO2 	 CO2 	 0.006700487367948757 	 0.006700487367948757
72	 12 	 HN 	 NH 	 0.0011736684662464912 	 0.0011736684662464912
72	 17 	 H2O 	 OH2 	 0.000251054913591187 	 0.000251054913591187
72	 16 	 CH2 	 CH2 	 0.0032691289293399033 	 0.0032691289293399033
72	 13 	 O3 	 O3 	 0.004652564031675959 	 0.004652564031675959
72	 2 	 FLi 	 LiF 	 0.007063824492002098 	 0.007063824492002098
72	 19 	 HO 	 OH 	 1.2850863714090521e-05 	 1.2850863714090521e-05
72	 5 	 F2 	 F2 	 0.00023509221302482104 	 0.00023509221302482104
72	 6 	 C2H2 	 C2H2 	 0.00014757685524093266 	 0.00014757685524093266
72	 23 	 HF2 	 HF2 	 0.002995106399239817 	 0.002995106399239817
72	 15 	 CH3 	 CH3 	 3.733887191347726e-05 	 3.733887191347726e-05
72	 8 	 HLi 	 LiH 	 5.671572098059965e-07 	 5.671572098059965e-07
72	 25 	 Li 	 Li 	 4.007311534039479e-05 	 4.007311534039479e-05
72	 4 	 CO2 	 CO2 	 0.006654839283772816 	 0.006654839283772816
72	 11 	 NO2 	 NO2 	 0.005074855758863022 	 0.005074855758863022
72	 22 	 CH4O 	 CH4O 	 0.00027953068374119046 	 0.00027953068374119046
