#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
290	 14 	 N2O 	 N2O 	 0.0033052846014947268 	 0.0033052846014947268
290	 20 	 CH 	 CH 	 7.43541420004329e-07 	 7.43541420004329e-07
290	 9 	 Na2 	 Na2 	 3.6532505440448805e-07 	 3.6532505440448805e-07
290	 23 	 HF2 	 HF2 	 0.0026188012316821336 	 0.0026188012316821336
290	 24 	 C 	 C 	 2.6581208139423914e-05 	 2.6581208139423914e-05
290	 10 	 NO 	 NO 	 7.373698439947815e-05 	 7.373698439947815e-05
290	 25 	 Li 	 Li 	 3.292564086288309e-05 	 3.292564086288309e-05
290	 15 	 CH3 	 CH3 	 1.0179422408185315e-06 	 1.0179422408185315e-06
290	 6 	 C2H2 	 C2H2 	 0.0001815318583485211 	 0.0001815318583485211
290	 4 	 CO2 	 CO2 	 0.008023073824037516 	 0.008023073824037516
290	 18 	 H3N 	 NH3 	 0.0003928007204578521 	 0.0003928007204578521
291	 9 	 Na2 	 Na2 	 3.67057194440244e-07 	 3.67057194440244e-07
291	 23 	 HF2 	 HF2 	 0.002618807131647213 	 0.002618807131647213
291	 22 	 CH4O 	 CH4O 	 0.0002352240726593463 	 0.0002352240726593463
291	 20 	 CH 	 CH 	 7.455315065418042e-07 	 7.455315065418042e-07
291	 3 	 CHN 	 CNH 	 0.0039462516191813585 	 0.0039462516191813585
291	 16 	 CH2 	 CH2 	 0.00262187026600336 	 0.00262187026600336
291	 25 	 Li 	 Li 	 3.40262265625884e-05 	 3.40262265625884e-05
291	 1 	 N2 	 N2 	 1.042013895083793e-06 	 1.042013895083793e-06
291	 11 	 NO2 	 NO2 	 0.004221556730333028 	 0.004221556730333028
291	 7 	 CO 	 OC 	 0.00041055911413093225 	 0.00041055911413093225
291	 0 	 H2 	 H2 	 1.04847491701759e-06 	 1.04847491701759e-06
291	 21 	 HN2O 	 HON2 	 0.003922295132217691 	 0.003922295132217691
291	 14 	 N2O 	 N2O 	 0.003304467733563156 	 0.003304467733563156
291	 4 	 CO2 	 CO2 	 0.008016405762713532 	 0.008016405762713532
291	 17 	 H2O 	 OH2 	 0.00022128969659289952 	 0.00022128969659289952
291	 5 	 F2 	 F2 	 0.00017980342167732218 	 0.00017980342167732218
291	 13 	 O3 	 O3 	 0.0034191814550896824 	 0.0034191814550896824
291	 6 	 C2H2 	 C2H2 	 0.00017843727392094548 	 0.00017843727392094548
291	 15 	 CH3 	 CH3 	 9.874187227408995e-07 	 9.874187227408995e-07
291	 24 	 C 	 C 	 2.6156249860249073e-05 	 2.6156249860249073e-05
