AE loss	 16 	 3 	 CHN 	 CNH 	 0.0076433128101822245
AE loss	 16 	 7 	 Li 	 Li 	 6.10029671085506e-07
AE loss	 16 	 4 	 C 	 C 	 7.89012642823043e-06
AE loss	 16 	 10 	 CH4O 	 CH4O 	 6.0431250232124976e-05
AE loss	 16 	 1 	 N2 	 N2 	 8.473365752366989e-05
AE loss	 16 	 8 	 N 	 N 	 1.4018073624619087e-05
AE loss	 16 	 11 	 HF2 	 HF2 	 0.0009256006853591523
AE loss	 16 	 2 	 FLi 	 LiF 	 0.008535283019194283
AE loss	 16 	 6 	 H 	 H 	 9.828022537414407e-08
AE loss	 17 	 4 	 C 	 C 	 8.019863310254558e-06
AE loss	 17 	 9 	 HN2O 	 HON2 	 0.0009049661237507502
AE loss	 17 	 6 	 H 	 H 	 1.007310506213749e-07
AE loss	 17 	 0 	 H2 	 H2 	 1.1024550043035447e-06
AE loss	 17 	 11 	 HF2 	 HF2 	 0.0009262228461169115
AE loss	 17 	 2 	 FLi 	 LiF 	 0.008484264986425866
AE loss	 17 	 10 	 CH4O 	 CH4O 	 6.0362434714734556e-05
AE loss	 17 	 5 	 F 	 F 	 1.9396249380477555e-07
AE loss	 17 	 7 	 Li 	 Li 	 7.825841346220322e-07
AE loss	 17 	 3 	 CHN 	 CNH 	 0.007492791068955003
AE loss	 17 	 8 	 N 	 N 	 1.1427245512603514e-05
AE loss	 17 	 1 	 N2 	 N2 	 7.979069221500284e-05
AE loss	 18 	 10 	 CH4O 	 CH4O 	 6.050760363200344e-05
AE loss	 18 	 6 	 H 	 H 	 1.0620169783893042e-07
AE loss	 18 	 11 	 HF2 	 HF2 	 0.0009293782316538701
AE loss	 18 	 1 	 N2 	 N2 	 7.985798100500372e-05
AE loss	 18 	 2 	 FLi 	 LiF 	 0.008418174284729865
AE loss	 18 	 8 	 N 	 N 	 1.198605682669973e-05
AE loss	 18 	 7 	 Li 	 Li 	 7.971723277435972e-07
AE loss	 18 	 0 	 H2 	 H2 	 1.5646713391886596e-06
AE loss	 18 	 9 	 HN2O 	 HON2 	 0.0009103999504221538
AE loss	 18 	 4 	 C 	 C 	 6.896114154767502e-06
AE loss	 18 	 3 	 CHN 	 CNH 	 0.007387370718139601
AE loss	 18 	 5 	 F 	 F 	 4.1810068362579405e-08
AE loss	 19 	 5 	 F 	 F 	 6.716468725401794e-08
AE loss	 19 	 6 	 H 	 H 	 1.165588327654305e-07
AE loss	 19 	 1 	 N2 	 N2 	 7.433410119833191e-05
AE loss	 19 	 3 	 CHN 	 CNH 	 0.007332670291323173
AE loss	 19 	 2 	 FLi 	 LiF 	 0.008371983143430906
AE loss	 19 	 9 	 HN2O 	 HON2 	 0.0009164721686364627
AE loss	 19 	 10 	 CH4O 	 CH4O 	 6.109616032456389e-05
AE loss	 19 	 7 	 Li 	 Li 	 7.4890077836041e-07
AE loss	 19 	 11 	 HF2 	 HF2 	 0.0009454193329318944
AE loss	 19 	 0 	 H2 	 H2 	 2.2267134827307326e-06
AE loss	 19 	 8 	 N 	 N 	 1.645156584138933e-05
AE loss	 19 	 4 	 C 	 C 	 9.795380696874348e-06
AE loss	 20 	 2 	 FLi 	 LiF 	 0.008313694969189805
AE loss	 20 	 8 	 N 	 N 	 1.579813777547379e-05
AE loss	 20 	 11 	 HF2 	 HF2 	 0.0009479933448339828
AE loss	 20 	 0 	 H2 	 H2 	 2.523953926019578e-06
AE loss	 20 	 6 	 H 	 H 	 1.4065272640896508e-07
AE loss	 20 	 3 	 CHN 	 CNH 	 0.007191618092681642
AE loss	 20 	 5 	 F 	 F 	 3.7869783679201896e-07
AE loss	 20 	 9 	 HN2O 	 HON2 	 0.0009212610337945024
AE loss	 20 	 4 	 C 	 C 	 8.065032987480213e-06
