AE loss	 15 	 6 	 H 	 H 	 4.008380633710351e-08
AE loss	 15 	 1 	 N2 	 N2 	 0.00010238465823947901
AE loss	 15 	 2 	 FLi 	 LiF 	 0.008731767983797106
AE loss	 15 	 3 	 CHN 	 CNH 	 0.007940628131395188
AE loss	 16 	 5 	 F 	 F 	 2.9298445363481787e-07
AE loss	 16 	 4 	 C 	 C 	 4.3345598908753695e-06
AE loss	 16 	 7 	 Li 	 Li 	 9.123077997359352e-07
AE loss	 16 	 1 	 N2 	 N2 	 0.00010009946234825814
AE loss	 16 	 8 	 N 	 N 	 6.697804771338141e-06
AE loss	 16 	 6 	 H 	 H 	 4.172021187664554e-08
AE loss	 16 	 3 	 CHN 	 CNH 	 0.007870321135955653
AE loss	 16 	 2 	 FLi 	 LiF 	 0.008674423931266509
AE loss	 16 	 0 	 H2 	 H2 	 2.063336262156218e-07
AE loss	 17 	 8 	 N 	 N 	 6.894814108967044e-06
AE loss	 17 	 0 	 H2 	 H2 	 2.3737818260003435e-07
AE loss	 17 	 3 	 CHN 	 CNH 	 0.007800847033910314
AE loss	 17 	 4 	 C 	 C 	 4.438699742379008e-06
AE loss	 17 	 5 	 F 	 F 	 1.2608793807892714e-07
AE loss	 17 	 6 	 H 	 H 	 4.9129600069682365e-08
AE loss	 17 	 2 	 FLi 	 LiF 	 0.008639327348912538
AE loss	 17 	 1 	 N2 	 N2 	 9.541558800044795e-05
AE loss	 17 	 7 	 Li 	 Li 	 1.0718565647805585e-06
AE loss	 18 	 2 	 FLi 	 LiF 	 0.008619678545414271
AE loss	 18 	 6 	 H 	 H 	 5.200529513643671e-08
AE loss	 18 	 8 	 N 	 N 	 7.78533687092467e-06
AE loss	 18 	 3 	 CHN 	 CNH 	 0.0076778034367750965
AE loss	 18 	 0 	 H2 	 H2 	 5.008469973494133e-07
AE loss	 18 	 4 	 C 	 C 	 4.889435792695097e-06
AE loss	 18 	 7 	 Li 	 Li 	 1.0996591783723933e-06
AE loss	 18 	 1 	 N2 	 N2 	 8.984098862482551e-05
AE loss	 18 	 5 	 F 	 F 	 5.623651116241429e-08
AE loss	 19 	 1 	 N2 	 N2 	 8.957050010325805e-05
AE loss	 19 	 3 	 CHN 	 CNH 	 0.0075972952349400115
AE loss	 19 	 4 	 C 	 C 	 5.440408482188568e-06
AE loss	 19 	 8 	 N 	 N 	 9.311637229968753e-06
AE loss	 19 	 6 	 H 	 H 	 6.331837015509974e-08
AE loss	 19 	 2 	 FLi 	 LiF 	 0.00851728978923069
AE loss	 19 	 7 	 Li 	 Li 	 1.1297213621457061e-06
AE loss	 19 	 0 	 H2 	 H2 	 8.237077794585565e-07
AE loss	 19 	 5 	 F 	 F 	 7.630146832150029e-09
AE loss	 20 	 1 	 N2 	 N2 	 8.488817550210447e-05
