AE loss	 16 	 1 	 N2 	 N2 	 6.0662542762171914e-05
AE loss	 16 	 7 	 H 	 H 	 4.277812659338477e-08
AE loss	 16 	 0 	 H2 	 H2 	 6.102824804404092e-06
AE loss	 16 	 8 	 Li 	 Li 	 7.981507703567766e-06
AE loss	 17 	 6 	 F 	 F 	 3.1991682160895446e-07
AE loss	 17 	 0 	 H2 	 H2 	 6.202243243093369e-06
AE loss	 17 	 4 	 CO2 	 CO2 	 0.014537431424826535
AE loss	 17 	 7 	 H 	 H 	 4.390822290835561e-08
AE loss	 17 	 9 	 N 	 N 	 3.3669020174559315e-05
AE loss	 17 	 5 	 C 	 C 	 4.479867311894401e-05
AE loss	 17 	 2 	 FLi 	 LiF 	 0.008368182651587083
AE loss	 17 	 10 	 O 	 O 	 9.972323547760763e-06
AE loss	 17 	 1 	 N2 	 N2 	 5.4825760530683086e-05
AE loss	 17 	 8 	 Li 	 Li 	 8.997836248661718e-06
AE loss	 17 	 3 	 CHN 	 CNH 	 0.0077968279359942
AE loss	 18 	 1 	 N2 	 N2 	 5.5027647099262493e-05
AE loss	 18 	 5 	 C 	 C 	 4.3674096414150314e-05
AE loss	 18 	 9 	 N 	 N 	 3.106443529827923e-05
AE loss	 18 	 3 	 CHN 	 CNH 	 0.007762615231692263
AE loss	 18 	 0 	 H2 	 H2 	 6.464128263771379e-06
AE loss	 18 	 7 	 H 	 H 	 4.7332270829983964e-08
AE loss	 18 	 10 	 O 	 O 	 7.540140280673068e-06
AE loss	 18 	 4 	 CO2 	 CO2 	 0.014292491767283463
AE loss	 18 	 8 	 Li 	 Li 	 9.036658650099264e-06
AE loss	 18 	 6 	 F 	 F 	 1.4632821920756835e-06
AE loss	 18 	 2 	 FLi 	 LiF 	 0.008297999174925621
AE loss	 19 	 5 	 C 	 C 	 4.483672590555813e-05
AE loss	 19 	 8 	 Li 	 Li 	 9.499509994243195e-06
AE loss	 19 	 10 	 O 	 O 	 7.9231752161967e-06
AE loss	 19 	 4 	 CO2 	 CO2 	 0.014166504446646027
AE loss	 19 	 1 	 N2 	 N2 	 4.808268091712977e-05
AE loss	 19 	 0 	 H2 	 H2 	 6.65709439913863e-06
AE loss	 19 	 7 	 H 	 H 	 5.174794539049902e-08
AE loss	 19 	 3 	 CHN 	 CNH 	 0.007645790267921467
AE loss	 19 	 6 	 F 	 F 	 1.3746824321179154e-06
AE loss	 19 	 9 	 N 	 N 	 3.5169181673027846e-05
AE loss	 19 	 2 	 FLi 	 LiF 	 0.008235447232177725
AE loss	 20 	 6 	 F 	 F 	 1.0139147610802513e-06
AE loss	 20 	 5 	 C 	 C 	 4.998256898290782e-05
AE loss	 20 	 3 	 CHN 	 CNH 	 0.007594979156433141
AE loss	 20 	 1 	 N2 	 N2 	 4.5248091462556764e-05
AE loss	 20 	 0 	 H2 	 H2 	 6.7795001309548114e-06
AE loss	 20 	 9 	 N 	 N 	 3.732213688124097e-05
AE loss	 20 	 10 	 O 	 O 	 1.0307534633438635e-05
AE loss	 20 	 2 	 FLi 	 LiF 	 0.008180729666962306
AE loss	 20 	 8 	 Li 	 Li 	 1.0994466876761715e-05
AE loss	 20 	 4 	 CO2 	 CO2 	 0.0139063493933612
AE loss	 20 	 7 	 H 	 H 	 5.8487786230793825e-08
AE loss	 21 	 7 	 H 	 H 	 6.022529823588858e-08
AE loss	 21 	 4 	 CO2 	 CO2 	 0.013847828169587573
AE loss	 21 	 3 	 CHN 	 CNH 	 0.007503652509285296
AE loss	 21 	 2 	 FLi 	 LiF 	 0.008134104708731767
AE loss	 21 	 1 	 N2 	 N2 	 3.9719270669384736e-05
AE loss	 21 	 0 	 H2 	 H2 	 7.0012240615804835e-06
AE loss	 21 	 8 	 Li 	 Li 	 1.3001795688859747e-05
AE loss	 21 	 6 	 F 	 F 	 2.3020286282379763e-07
AE loss	 21 	 10 	 O 	 O 	 1.4230533267910267e-05
AE loss	 21 	 9 	 N 	 N 	 4.524570313422179e-05
AE loss	 21 	 5 	 C 	 C 	 6.049563914446878e-05
